indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih
1105,EREÑOZU,,1,215,266,64,28.0,1139.0,52,52,36,1018,20040,586038,4788616,586038,4788616,-15625,431441,-15630,431437,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",585932,4788406,A900
1163,LEMONA (IBAIZABAL),,1,251,472,62,69.0,1157.0,51,51,8,1065,48055,520014,4784559,520014,4784559,-24513,431246,-24518,431242,,519908,4784351,A145
1186,GURIEZO,,1,112,146,36,17.0,1003.0,51,51,0,1076,39030,473403,4800447,473403,4800447,-31941,432120,-31947,432116,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",473297,4800239,A700
1196,COTERILLO,,1,485,512,60,16.0,1640.0,52,52,30,1084,39002,464745,4797767,464745,4797767,-32605,431952,-32610,431948,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",464639,4797560,A701
1268,PUENTELLES,,1,643,1184,56,56.0,2536.0,51,51,30,1128,33047,369784,4797493,369784,4797493,-43621,431906,-43626,431902,,369677,4797288,A078
1276,MIER,,1,455,496,56,62.0,2648.0,52,52,25,1131,33046,363482,4797361,363482,4797361,-44100,431857,-44105,431853,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",363375,4797156,A080
1295,CANGAS DE ONIS,,1,486,1246,31,58.0,2596.0,89,89,2,1140,33012,327313,4802165,327313,4802165,-50751,432106,-50756,432102,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",327205,4801960,A602
1302,OZANES,,1,486,509,31,33.0,,46,46,17,1143,33045,323115,4804112,323106,4804091,-51059,432205,-51104,432201,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",322998,4803886,A604
1303,VILLAMAYOR,,1,379,509,30,96.0,1551.0,50,50,20,1143,33049,314614,4804618,314614,4804618,-51718,432215,-51722,432211,,314506,4804413,A073
1335,"CONDADO, EL",,1,343,4866,54,366.0,2104.0,59,59,25,1150,33032,298035,4789767,298035,4789767,-52914,431358,-52919,431354,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",297926,4789562,A605
1343,SAN CUCAO,,1,314,382,28,121.0,793.0,50,50,11,1173,33035,265898,4811514,265898,4811514,-55330,432509,-55335,432505,,265789,4811309,A064
1353,CORIAS,,1,531,1850,50,352.0,2007.0,95,106,16,1183,33011,699538,4785395,211993,4788569,-63240,431139,-63245,431135,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",211883,4788364,A606
1358,PTE. SAN MARTIN,,1,403,405,27,93.0,2194.0,94,94,17,1192,33005,726751,4803016,240410,4804197,-61209,432042,-61214,432038,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",240300,4803992,A068
1378,GRADO,,1,210,214,28,56.0,1454.0,53,53,16,1175,33026,737726,4808327,251740,4808706,-60354,432322,-60359,432318,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",251631,4808501,A608
1395,TREVIAS,,1,411,467,12,35.0,1291.0,51,51,30,1200,33034,707379,4819933,222300,4822470,-62606,433010,-62611,433006,,222190,4822266,A609
1427,SAN TIRSO DE ABRES,,1,712,819,25,21.0,1111.0,98,108,30,1244,33063,650387,4808608,164597,4815273,-70833,432452,-70838,432448,,164486,4815068,A048
