ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
2001;CUERDA DEL POZO;1;;42215;317;524593;4636236;524593;4636236;-24213;415240;-24217;415233;0;1084.6;2009;63;75;524485;4636028;
2002;VILLALCAMPO;1;LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL                                                           ;49247;396;743489;4597641;242605;4598124;-60460;412934;-60505;412929;0;601;2323;63;72;242495;4597917;
2003;CASTRO;1;LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL                                                           ;49240;368;734588;4606683;234352;4607763;-61110;413436;-61115;413432;0;564;2323;63;69;234242;4607556;
2004;SAUCELLE;1;LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL                                                           ;37302;449;684607;4546572;180337;4551221;-64812;410258;-64816;410251;0;190;2343;63;65;180227;4551013;
2005;ALDEADAVILA;1;LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL                                                           ;37014;422;694098;4565078;191059;4569043;-64105;411247;-64110;411243;0;327.8;2343;59;58;190949;4568836;
2010;UZQUIZA;1;;9463;239;469730;4683952;469730;4683952;-32202;421823;-32207;421819;1102;1100;2170;33;33;469623;4683744;
2011;ARLANZON;1;;9463;239;472108;4679345;472108;4679345;-32017;421554;-32022;421550;0;1143;2170;63;77;472001;4679137;
2012;CERVERA DE RUESGA;1;LOS DATOS DE 2007-08 SON PROVISIONALES SUJETOS A REVISION                                                               ;34056;106;375312;4747228;375312;4747228;-43135;425200;-43140;425156;0;1041.6;2129;63;77;375204;4747022;
2013;REQUEJADA, LA;1;;34056;106;375196;4751786;375196;4751786;-43144;425431;-43148;425424;0;1082.5;2126;63;63;375088;4751580;
2014;CAMPORREDONDO;1;LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ;34199;106;358239;4751323;358239;4751323;-44411;425405;-44415;425358;0;1290.7;2195;63;77;358131;4751117;
2015;COMPUERTO;1;LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ;34199;106;350836;4747192;350836;4747192;-44933;425143;-44938;425139;0;1221.5;2195;61;61;350728;4746986;
2016;AGUILAR DE CAMPOO;1;LOS DATOS DE 2003-04 A 2006-07 SON PROVISIONALES SUJETOS A REVISION                                                     ;34004;133;394802;4738985;394802;4738985;-41711;424744;-41716;424740;942;942;2130;59;59;394694;4738779;
2026;BARRIOS DE LUNA;1;;24012;102;266127;4748317;266127;4748317;-55144;425103;-55149;425059;0;1108.5;2285;63;70;266018;4748112;
2027;VILLAMECA;1;;24123;160;740086;4726166;248226;4726581;-60417;423859;-60422;423855;0;1008.9;2292;63;69;248116;4726375;
2028;MONCABRIL (SISTEMA);1;LOS DATOS DE 2004-05 A 2010-11 Y 2013-14 A 2014-15 ESTAN PENDIENTES DE REVISION                                         ;49162;267;686170;4666015;190204;4670361;-64452;420727;-64456;420720;0;1644;2311;63;65;190093;4670154;
2029;RICOBAYO;1;LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL                                                           ;49135;368;251040;4601807;251040;4601807;-55902;413143;-55907;413138;0;684;2322;63;77;250930;4601600;
2030;PORMA / JUAN BENET;1;;24021;104;312959;4755705;312959;4755705;-51731;425549;-51736;425545;0;1095.6;2265;52;52;312850;4755500;
2031;CERNADILLA;1;LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL. LOS DATOS DE 2007-08 SON PROVISIONALES SUJETOS A REVISION;49048;268;710515;4655299;213723;4657957;-62727;420115;-62732;420111;0;889;2313;47;47;213612;4657750;
2032;RIAÑO;1;;24130;105;330004;4755776;330004;4755776;-50500;425606;-50505;425601;1101.7;1100;2262;33;33;329896;4755570;
2033;VALPARAISO;1;LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL                                                           ;49121;306;726144;4652833;229175;4654400;-61611;415942;-61615;415935;835;833;2313;32;32;229065;4654193;
2034;NUESTRA SEÑORA DEL AGAVANZAL;1;;49177;307;736964;4651479;239876;4652291;-60823;415847;-60827;415840;0;785;2315;26;27;239766;4652084;
2036;LINARES DEL ARROYO;1;;40115;375;453742;4597654;453742;4597654;-33316;413142;-33321;413138;0;915.3;2098;63;70;453634;4597447;
2037;BURGOMILLODO;1;LOS DATOS DE 2004-05, 2005-06 Y 2007-08 SON PROVISIONALES SUJETOS A REVISION                                            ;40044;402;426031;4576794;426031;4576794;-35302;412019;-35307;412015;0;874.2;2110;63;77;425922;4576587;
2038;SANTA TERESA;1;LOS DATOS DE 2004-05 Y 2008-09 ESTAN PENDIENTES DE REVISION                                                             ;37200;528;280195;4505239;280195;4505239;-53601;404005;-53606;404001;0;885.7;2330;63;67;280086;4505032;
2039;AGUEDA;1;;37378;526;713395;4489808;205191;4492580;-62850;403154;-62854;403147;0;636.5;2370;63;77;205082;4492373;
