indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89
2005,OSMA,,1,900,1035,377,890,1335.0,74,74,43,2060,42043,493125,4602860,493125,4602860,-30457,413436,-30502,413432,,493016,4602652
2009,RIAZA,,1,36,1082,432,1139,2036.0,96,106,60,2088,40170,460580,4570580,460580,4570580,-32815,411706,-32819,411702,,460472,4570372
2012,SEPULVEDA,,1,480,1450,431,920,2262.0,71,77,37,2106,40195,438350,4572605,438350,4572605,-34411,411807,-34416,411802,,438241,4572398
2013,ARANDA DE DUERO,,1,7356,97620,375,790,2315.0,48,48,35,2067,9018,443439,4611795,443439,4611795,-34045,413919,-34050,413914,,443331,4611587
2015,HERRERA DE DUERO,,1,12740,97620,372,690,2315.0,98,108,61,2111,47175,361160,4603018,361160,4603018,-43954,413358,-43959,413354,,361051,4602811
2016,PAJARES DE PEDRAZA,,1,280,2525,457,938,2209.0,98,108,53,2112,40019,428405,4557885,428405,4557885,-35112,411006,-35117,411002,,428296,4557678
2028,SALAS DE LOS INFANTES,,1,349,5380,277,958,2131.0,63,63,37,2161,9330,477119,4653831,477119,4653831,-31635,420208,-31640,420204,,477011,4653623
2029,CORDOVILLA,,1,4227,15828,274,740,2139.0,98,108,47,2156,34063,396833,4665232,396833,4665232,-41454,420754,-41458,420750,,396725,4665025
2030,COVARRUBIAS,,1,1200,5380,277,881,2131.0,97,107,48,2165,9113,458015,4656096,458015,4656096,-33027,420318,-33031,420314,,457907,4655889
2031,PERAL DE ARLANZA,,1,2413,5380,275,770,2131.0,99,109,48,2169,9262,410823,4659303,410823,4659303,-40441,420448,-40446,420444,,410715,4659096
2034,BESANDE,,1,32,73,105,1270,1820.0,60,60,16,2196,24020,346172,4751298,346172,4751298,-45303,425353,-45308,425349,,346064,4751092
2035,OTERO DE GUARDO,,1,72,73,106,1127,1820.0,60,60,29,2196,34199,348948,4743768,348948,4743768,-45053,424951,-45058,424947,,348840,4743562
2036,QUINTANA DEL PUENTE,,1,5256,5380,274,740,2131.0,97,107,45,2193,34084,397462,4656950,397462,4656950,-41421,420326,-41426,420322,,397354,4656743
2042,PALENCIA,,1,2222,3407,273,740,2497.0,98,108,44,2203,34079,371126,4655182,371126,4655183,-43325,420215,-43330,420210,,371018,4654976
2043,CABEZON DE PISUERGA,,1,14283,15828,343,698,2139.0,80,90,60,2206,47027,363795,4622535,363795,4622535,-43817,414432,-43821,414428,,363687,4622328
2046,AVILA,,1,770,5275,531,1066,2297.0,96,106,38,2214,5019,355772,4501495,355772,4501495,-44221,403904,-44226,403859,,355663,4501288
2050,SEGOVIA,,1,252,2968,483,900,2430.0,87,97,40,2219,40194,403507,4534119,403507,4534119,-40852,405702,-40847,405707,DATOS MODIFICADOS 2014-15 (ANUARIO 15-16)                                                           ,403398,4533912
2051,"ESPINAR, EL",,1,35,2193,508,1260,2139.0,68,68,48,2222,40076,402557,4511890,402557,4511890,-40915,404505,-40920,404501,,402448,4511683
2052,GUIJAS ALBAS,,1,252,695,507,940,2193.0,61,61,42,2222,40211,391920,4519759,391920,4519759,-41654,404916,-41658,404911,,391811,4519552
2053,BERNARDOS,,1,1438,2968,456,782,2430.0,57,57,30,2227,40030,387275,4557134,387275,4557134,-42036,410925,-42041,410921,,387166,4556927
2054,SAN MIGUEL DEL PINO,,1,36570,97620,371,670,2815.0,91,101,40,2231,47146,338985,4596727,338985,4596727,-45545,413019,-45550,413015,,338876,4596520
2057,VILLOVELA DE PIRON,,1,172,1020,457,869,2200.0,49,49,32,2113,40075,405705,4552136,405705,4552136,-40723,410652,-40728,410647,,405596,4551929
2060,CEBRONES DEL RIO,,1,3192,5039,231,754,2417.0,49,49,31,2303,24053,266703,4681447,266703,4681447,-54940,421459,-54945,421454,,266593,4681240
2062,TORO-DUERO,,1,41808,97620,370,637,2315.0,98,108,36,2247,49219,298767,4598960,298767,4598960,-52441,413059,-52446,413054,,298658,4598753
