ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
9801;EBRO;1;LOS DATOS DE 2001-02 A 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                     ;39065;108;414345;4758211;414345;4758211;-40301;425815;-40306;425811;839;839;9007;63;74;414238;4758005;E001
9802;FLIX;1;LOS DATOS DE 2006-07 Y 2007-08 ESTAN PENDIENTES DE REVISION                                                             ;43060;444;294734;4567758;797607;4570948;3303;411404;3259;411360;42.6;41.1;9648;59;69;797499;4570738;E002
9803;MEQUINENZA;1;LOS DATOS DE 2001-02 A 2005-06, 2007-08, 2009-10 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                         ;50095;415;272160;4583509;773989;4585108;1633;412213;1628;412281;121;121;9378;57;57;773881;4584898;E003
9804;RIBARROJA;1;LOS DATOS DE 2001-02 A 2003-04. 2005-06 2007-08, 2009-10, 2010-11 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION        ;43125;443;284934;4569150;787729;4571661;2601;411440;2556;411436;0;70;9648;53;53;787621;4571451;E004
9805;SOBRON;1;LOS DATOS DE 2001-02 A 2007-08 SON PROVISIONALES SUJETOS A REVISION                                                     ;9054;137;491897;4735189;491897;4735189;-30557;424606;-30602;424602;511.5;511;9045;25;26;491790;4734982;E005
9806;PAJARES;1;LOS DATOS DE 2002-03, 2004-05, 2006-07, 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                 ;26091;279;532454;4659939;532454;4659939;-23627;420524;-23632;420520;1230.9;1228;9131;26;27;532346;4659731;E006
9807;MONTEAGUDO DE LAS VICARIAS;1;LOS DATOS DE 2003-04 Y 2009-10 SON PROVISIONALES SUJETOS A REVISION                                                     ;42119;408;568778;4581535;568778;4581535;-21039;412254;-21044;412250;0;820.9;9259;36;37;568669;4581326;E007
9808;MAIDEVERA;1;;50031;381;603457;4603432;603457;4603432;-14533;413431;-14537;413426;0;799;9283;36;37;603349;4603223;E008
9809;MANSILLA;1;LOS DATOS DE 2005-06, 2007-08 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                                            ;26093;278;507421;4667540;507421;4667540;-25437;420933;-25441;420929;932;930;9106;61;62;507313;4667332;E009
9810;VALBORNEDO;0;INT 1963                                                                                                                ;26105;203;535437;4696319;535437;4696319;-23409;422503;-23414;422459;564.4;564.1;9996;6;19;535330;4696111;
9811;GONZALEZ LACASA;1;LOS DATOS DE 2003-04, 2005-06, 2007-08 A 2009-10 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                         ;26112;241;527074;4669289;527074;4669289;-24020;421028;-24025;421024;996;995.5;9133;63;73;526966;4669081;E011
9812;TRANQUERA, LA;1;;50072;437;600847;4568832;600847;4568832;-14746;411550;-14751;411546;689.3;685.5;9271;57;57;600738;4568623;E012
9813;MEZALOCHA;1;;50167;411;660780;4587819;660780;4587819;-10434;412530;-10438;412526;0;472.5;9290;29;29;660672;4587610;E013
9814;TORCAS, LAS;1;LOS DATOS DE 2006-07 SON PROVISIONALES SUJETOS A REVISION                                                               ;50264;439;339736;4573426;660264;4573426;10509;411744;10505;411740;728.4;624.3;9290;63;63;660155;4573217;E014
9815;MONEVA;1;LOS DATOS DE 2001-02, 2002-03, 2006-07 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                                   ;50233;440;681998;4561107;681998;4561107;-4949;411049;-4953;411044;616.7;614.7;9332;63;63;681889;4560898;E015
9816;ALMOCHUEL;1;INT 2003                                                                                                                ;50021;440;704415;4574278;704415;4574278;-3332;411736;-3336;411732;471.6;471.6;9336;42;44;704306;4574068;
9817;CUEVA FORADADA;1;;44172;493;694098;4539720;694098;4539720;-4134;405906;-4139;405901;579.9;579.3;9352;63;63;693989;4539511;E017
9818;SANTOLEA;1;;44071;519;726523;4517161;726523;4517162;-1858;404625;-1902;404621;0;583.4;9366;63;63;726414;4516952;E018
9819;ESTANCA DE ALCAÑIZ;1;LOS DATOS DE 2006-07 Y 2007-08 SON PROVISIONALES SUJETOS A REVISION                                                     ;44013;469;736858;4549718;736858;4549718;-1052;410349;-1057;410345;342;342;9377;63;77;736749;4549508;E019
9820;GALLIPUEN;1;;44040;494;718072;4528319;718072;4528319;-2444;405234;-2448;405230;695.5;694.5;9372;46;48;717963;4528110;E020
9821;PENA;1;LOS DATOS DE 2002-03, 2006-07 Y 2008-09 ESTAN PENDIENTES DE REVISION                                                    ;44246;520;258413;4522874;764445;4523657;808;404914;803;404910;619;617;9636;63;63;764336;4523447;E021
9822;CALANDA;1;LOS DATOS DE 2012-13 SON PROVISIONALES SUJETOS A REVISION                                                               ;44052;494;734975;4533479;734975;4533479;-1235;405505;-1240;405501;443;440;9371;39;39;734866;4533269;E022
9823;CASPE II;1;;50074;469;1256080;4593264;752093;4558359;12;410812;8;410808;232.5;230;9377;33;34;751984;4558149;E023
9824;SAN BARTOLOME;1;;50095;246;652522;4675186;652522;4675186;-10908;421248;-10913;421244;0;417;9248;8;10;652414;4674976;E024
9825;EUGUI;1;LOS DATOS DE 2006-07 SON PROVISIONALES SUJETOS A REVISION                                                               ;31098;116;621304;4758968;621304;4758969;-13045;425823;-13050;425819;629;628;9211;42;42;621198;4758759;E025
9826;ALBIÑA;1;;1058;112;530283;4760299;530283;4760299;-23743;425938;-23747;425934;608.3;608.3;9061;10;11;530177;4760091;
9827;ULLIVARRI;1;LOS DATOS DE 2001-02 A 2007-08, 2010-11 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                                  ;1008;112;531398;4753098;531398;4753098;-23655;425545;-23660;425541;546.5;546.5;9058;61;61;531292;4752890;E027
9828;URRUNAGA;1;LOS DATOS DE 2001-02 A 2007-08, 2010-11 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                                  ;1058;112;528237;4756387;528237;4756387;-23914;425732;-23918;425728;546.5;546.5;9063;61;61;528131;4756179;E028
9829;YESA;1;LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ;31261;175;649104;4719976;649104;4719976;-11055;423701;-11100;423657;0;488.6;9188;62;62;648997;4719766;E029
9830;ALLOZ;1;LOS DATOS DE 2001-02, 2003-04 Y 2004-05 Y 2009-10 SON PROVISIONALES SUJETOS A REVISION                                  ;31260;140;586723;4728958;586723;4728958;-15628;424227;-15633;424223;;468.7;9230;63;77;586616;4728749;E030
9831;IRABIA;1;LOS DATOS DE 2006-07 A 2010-11 Y 2012-13 ESTAN PENDIENTES DE REVISION                                                   ;31195;117;650316;4761014;650316;4761014;-10923;425910;-10927;425906;819.9;811.5;9193;48;57;650210;4760804;E031
9832;ESCARRA (SISTEMA);0;INT 1993                                                                                                                ;22204;145;716754;4736209;716754;4736209;-2106;424449;-2111;424445;0;0;9295;35;35;716647;4735999;
9833;AGUAS LIMPIAS (SISTEMA);0;INT 1993                                                                                                                ;22204;145;718729;4741000;718729;4741000;-1933;424722;-1938;424718;0;0;9293;35;35;718622;4740790;
9834;ALTO CALDARES (SISTEMA);0;INT 1993                                                                                                                ;22170;145;726043;4737604;726043;4737604;-1416;424525;-1421;424521;0;0;9297;35;47;725936;4737394;
9835;BUBAL;1;LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ;22122;145;720014;4729060;720014;4729060;-1853;424054;-1858;424051;1086.5;1085;9302;51;51;719907;4728850;E035
9836;PEÑA, LA;1;SALTO DE RESERVA ENTRE EL 30/09/2010 Y 01/10/2010                                                                       ;22173;209;686514;4695061;686514;4695061;-4404;422305;-4408;422301;0;539;9322;58;72;686407;4694851;E036
9837;ARDISA;1;LOS DATOS DE 2004-05 Y 2005-06 SON PROVISIONALES SUJETOS A REVISION                                                     ;50033;247;685561;4672672;685561;4672672;-4511;421100;-4516;421056;0;421.6;9322;59;73;685453;4672462;E037
9838;SOTONERA, LA;1;LOS DATOS DE 2001-02 Y 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                     ;22014;285;692571;4664203;692571;4664203;-4016;420620;-4020;420616;420.5;417;9325;63;77;692463;4663993;E038
