indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih
9002,CASTEJON,,1,25194,85001,242,265,2886.0,87,89,58,9241,31070,607902,4670804,607902,4670804,-14136,421052,-14141,421048,DATOS MODIFICADOS DE 1996-97 A 2006-07 (ANUARIO 15-16)                                              ,607794,4670595,A002
9003,ANDOSILLA,,1,1445,1461,205,304,1438.0,96,107,43,9152,31015,586644,4692055,586644,4692055,-15652,422231,-15656,422227,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,586537,4691846,A003
9004,FUNES,,1,2759,2759,244,284,1494.0,95,105,27,9231,31107,598895,4685633,598895,4685633,-14760,421857,-14804,421853,DATOS MODIFICADOS DE 1980-81 A 2018-19 (ANUARIO 19-20)                                              ,598788,4685424,A004
9005,CAPARROSO,,1,5469,8521,206,302,2886.0,98,108,41,9210,31065,611264,4688981,611264,4688981,-13857,422040,-13902,422036,DATOS MODIFICADOS DE 1965-66 A 1984-85 RESPECTO A PUBLICADOS                                        ,611157,4688772,A005
9011,ZARAGOZA,,1,40434,85001,383,201,2886.0,98,109,63,9289,50297,676533,4614247,676533,4614247,-5247,413935,-5252,413931,DATOS MODIFICADOS DE 1996-97 A 2006-07 (ANUARIO 15-16)                                              ,676425,4614038,A011
9013,GRAUS,,1,893,1532,250,450,3404.0,78,82,55,9589,22117,280944,4676145,776290,4678160,2048,421222,2043,421218,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,776182,4677949,A013
9018,JACA,,1,238,8521,176,793,2886.0,80,90,54,9166,22130,700812,4717118,700812,4717118,-3311,423447,-3316,423443,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,700705,4716908,A018
9021,PUIGCERDA,,1,311,22579,217,1120,2909.0,81,86,42,9383,17141,905987,4708819,905987,4708819,15604,422529,15559,422525,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,905879,4708608,A021
9022,SEO DE URGEL,,1,559,562,215,697,2865.0,94,103,49,9424,25203,372704,4691171,866845,4699632,12715,422142,12711,422138,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,866737,4699421,A022
9023,SEO DE URGEL,,1,1233,22579,215,670,2921.0,93,93,46,9401,25203,867444,4698760,867444,4698760,12739,422113,12735,422109,"LOS DATOS DE 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",867336,4698549,A023
9027,TORTOSA,,1,84230,85001,522,25,3404.0,90,95,52,9662,43155,290895,4521074,796985,4524084,3115,404848,3111,404844,DATOS MODIFICADOS 2011-12 Y 2012-13 (ANUARIO 13-14). DATOS DE 2011-12 PENDIENTES DE REVISION        ,796876,4523874,A027
9032,PERALTA DE ALCOFEA,,1,362,362,325,310,2077.0,75,80,28,9618,22124,738321,4643896,738321,4643896,-736,415437,-741,415433,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,738213,4643686,A032
9033,PERALTA DE ALCOFEA,,1,765,3385,325,310,2077.0,76,81,28,9615,22124,738512,4644293,738512,4644293,-727,415450,-732,415446,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,738404,4644083,A033
9038,TORREMONTALVO,,1,1090,1100,203,420,2202.0,73,78,48,9124,26046,526066,4705363,526066,4705363,-24058,422958,-24103,422954,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,525959,4705155,A038
9040,BOLTAÑA,,1,626,718,211,680,3355.0,77,77,24,9561,22066,317354,4700803,753305,4703010,4646,422614,4642,422610,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,753198,4702800,A040
9041,NAVARRETE DEL RIO,,1,364,465,491,904,1496.0,77,88,17,9276,44050,646619,4532671,646619,4532671,-11531,405553,-11536,405549,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,646510,4532462,A041
9043,SAN PEDRO MANRIQUE,,1,105,365,280,1060,1709.0,69,72,27,9237,42165,564440,4652433,564440,4652433,-21318,420114,-21323,420110,,564332,4652224,A043
9044,YANGUAS,,1,223,692,280,940,1792.0,76,85,56,9158,42218,555320,4661829,555320,4661829,-21951,420621,-21956,420617,,555212,4661621,A044
9046,LECINA,,1,110,372,249,630,1441.0,72,80,40,9599,22051,255951,4678475,751189,4678726,236,421311,231,421307,,751082,4678516,
9047,CAPELLA,,1,426,446,250,485,2728.0,76,81,46,9594,22080,780464,4677088,780464,4677088,2348,421142,2343,421138,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,780356,4676877,A047
9049,DEBANOS,,1,150,318,319,920,1719.0,72,82,30,9239,42075,587585,4639991,587585,4639991,-15639,415423,-15643,415419,,587477,4639782,
9050,CUZCURRITA,,1,698,1243,169,526,2085.0,75,85,52,9090,26056,499936,4708206,499936,4708206,-30003,423132,-30008,423128,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,499829,4707998,A050
9052,BECEITE,,1,48,1727,521,580,1339.0,76,86,49,9629,44037,768746,4524361,768746,4524361,1112,404932,1108,404928,LOS DATOS DE 2009-10 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,768637,4524151,A052
9059,STA. EULALIA DE GALLEGO,,1,1901,4009,247,427,3151.0,77,80,54,9322,50185,685574,4682553,685574,4682553,-4459,421621,-4504,421617,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,685467,4682343,A059
9062,BINIES,,1,161,271,176,650,2366.0,79,88,45,9177,22076,681570,4725183,681570,4725183,-4705,423925,-4710,423921,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,681463,4724973,A062
9063,SIGÜES,,1,506,526,175,595,2100.0,74,85,52,9185,50245,663062,4723515,663062,4723515,-10039,423846,-10044,423842,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,662955,4723305,A063
9064,ASPURZ,,1,396,533,143,547,1656.0,78,84,48,9202,31181,650754,4730933,650754,4730933,-10933,424255,-10937,424251,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,650647,4730723,A064
9065,LIEDENA,,1,1546,1561,174,412,2021.0,80,90,57,9203,31155,639935,4720646,639935,4720646,-11737,423729,-11742,423725,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,639828,4720436,A065
9071,ESTELLA,,1,943,1461,140,425,1438.0,80,88,58,9150,31097,579105,4724962,579105,4724962,-20205,424020,-20209,424016,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,578998,4724753,A071
9073,SANGÜESA,,1,275,279,174,393,1517.0,75,78,49,9205,31216,643344,4712744,643344,4712744,-11515,423311,-11519,423307,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,643237,4712534,A073
9074,ARCE,,1,1357,1358,172,455,1442.0,75,84,45,9076,9219,508565,4725201,508565,4725201,-25344,424043,-25349,424038,DATOS MODIFICADOS 1996-97 A 2012-13 (ANUARIO 13-14)                                                 ,508458,4724993,A074
