indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
1430;AS ANZAS                           ;INT 2014                                                              ;0;45;65;10;27;;8;7;0;1930;27051;654952;4818388;169860;4824709;-70500;433006;-70506;433002;;;;;;169749;4824504;
1431;MASMA                              ;;1;145;291;24;46;1056;49;49;21;1246;27030;634725;4815304;149439;4823089;-72003;432840;-72009;432836;;;;;;149328;4822884;
1433;SAN ACISCLO                        ;;1;163;189;9;32;1064;49;49;21;1248;27019;631158;4824168;146517;4832199;-72234;433329;-72240;433325;;;;;;146405;4831994;
1435;GUIONCHO, O                        ;;1;43;44;3;38;;13;12;0;1929;27013;625112;4838281;141499;4846731;-72652;434110;-72657;434106;;;;;;141387;4846526;
1438;CHAVIN                             ;;1;198;270;8;15;;44;44;8;1250;27066;613777;4830661;129626;4839941;-73524;433710;-73529;433706;;;;;;129514;4839736;
1440;PTE. SEGADE (MAÑON)                ;;1;112;202;8;208;762;25;24;0;1252;15044;602299;4830533;118150;4840643;-74356;433712;-74401;433708;LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;118038;4840438;
1441;MORGALLON, O                       ;;1;185;202;2;45;;13;13;0;1252;27064;605313;4839865;121837;4849748;-74135;434213;-74140;434209;;;;;;121725;4849543;
1443;SANTA MARIA DE MERA                ;;1;102;127;7;21;757;49;49;11;1254;15061;588135;4832611;104149;4843745;-75426;433826;-75432;433822;LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;104037;4843540;
1445;PORTO DO CABO, O                   ;;1;71;122;7;23;;13;12;0;1928;15087;577565;4830880;93462;4842781;-80219;433734;-80224;433730;;;;;;93350;4842576;
1446;SAN SADURNIÑO                      ;;1;108;182;7;30;667;47;47;23;1258;15076;574582;4820579;89735;4832702;-80437;433201;-80443;433157;;;;;;89623;4832497;
1449;A MACIÑEIRA                        ;;1;56;60;7;72;;13;13;0;1260;15055;570294;4817374;85218;4829809;-80750;433019;-80755;433015;;;;;;85106;4829604;
1455;RIBEIRANOVA                        ;;1;191;470;23;379;;13;12;0;1262;15070;594408;4812221;108943;4822918;-74959;432722;-75005;432718;LOS DATOS DE 2008-09 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;108831;4822713;
1456;CAPELA                             ;INT 1958                                                              ;0;400;471;22;371;;7;7;0;1272;15070;580807;4805146;94842;4816829;-80008;432339;-80013;432334;;;;;;94730;4816624;
1458;SANTA CRISTINA                     ;;1;434;470;22;140;;11;8;0;1274;15050;575822;4807481;90028;4819522;-80349;432456;-80354;432452;;;;;;89916;4819317;
1464;MUÑIFERAL                          ;;1;248;457;46;242;600;48;48;13;1278;15039;576732;4789036;89609;4801023;-80317;431458;-80323;431454;LOS DATOS DE 2006-07 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;89497;4800817;
1469;BARLLOBRE                          ;;1;83;457;45;45;;13;12;0;1281;15009;564941;4790760;77948;4803594;-81159;431558;-81205;431554;;;;;;77836;4803388;
1470;A PONTE DE BEDOÑA                  ;;1;139;346;45;44;;8;7;0;1284;15001;560322;4789587;73388;4802959;-81519;431528;-81524;431524;;;;;;73276;4802753;
1471;CAMBRE                             ;INT 1987                                                              ;0;277;346;45;15;546;18;18;9;1286;15017;554315;4793099;67495;4806697;-81950;431717;-81955;431712;;;;;;67383;4806491;
1472;A PONTE DA RIBEIRA                 ;;1;72;90;45;59;;6;5;0;1285;15001;554921;4786102;67738;4799864;-81920;431337;-81925;431333;;;;;;67626;4799658;
1473;A TELVA                            ;;1;289;346;45;8;;8;7;0;1286;15017;552174;4793705;65539;4807662;-82119;431744;-82124;431740;;;;;;65427;4807456;
1483;CARBALLO                           ;;1;118;516;44;116;;13;12;0;1288;15019;525085;4784408;37643;4800111;-84128;431241;-84134;431236;;;;;;37531;4799905;
1485;ANLLONS                            ;;1;438;516;43;17;564;49;49;15;1290;15068;509315;4786327;22010;4803165;-85307;431344;-85313;431340;LOS DATOS DE 2006-07 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;21898;4802959;
1497;AS CASASNOVAS                      ;;1;251;283;68;65;;11;9;0;1294;15016;491181;4776104;3134;4794244;-90630;430813;-90636;430809;;;;;;3022;4794038;
1506;A PONTE DE CONSTANTE               ;;1;109;140;67;74;;13;12;0;1296;15023;484481;4761391;-4626;4780004;-91125;430015;-91131;430011;;;;;;-4738;4779798;
1510;ESCABANAS                          ;;1;5;102;92;13;;13;12;0;1927;15023;484491;4756668;-4955;4775278;-91125;425742;-91130;425738;;;;;;-5067;4775072;
1512;A PONTE DE TRUEBE                  ;;1;201;504;93;300;;13;12;0;1300;15077;509117;4760611;19964;4777457;-85317;425950;-85323;425946;;;;;;19852;4777251;
1514;A PONTE OLVEIRA                    ;;1;362;504;93;258;;13;12;0;1302;15045;498628;4756818;9200;4774415;-90101;425748;-90106;425743;;;;;;9088;4774209;
1519;PORTOMOURO                         ;INT 2001                                                              ;0;1146;1526;94;161;764;73;82;1;1324;15088;528977;4756542;39536;4771965;-83841;425737;-83846;425732;;;;;;39424;4771759;
1520;CAROLLO                            ;;1;561;1526;95;240;764;20;19;1;1316;15060;549037;4758477;59732;4772463;-82355;425836;-82401;425832;LOS DATOS DE 2006-07 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;59620;4772257;
1522;VILACIDE DE ARRIBA                 ;;1;311;1526;95;228;;13;13;0;1323;15060;544499;4760158;55316;4774469;-82715;425931;-82720;425927;LOS DATOS DE 2008-09 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;55204;4774263;
1525;A PONTE DE LESTA                   ;;1;91;1526;94;176;;13;12;0;1325;15088;528301;4758359;38990;4773830;-83911;425836;-83916;425832;;;;;;38878;4773624;
1528;NEGREIRA                           ;;1;92;160;94;156;;13;12;0;1329;15056;521349;4750714;31490;4766682;-84419;425429;-84424;425425;;;;;;31378;4766476;
1540;VIDALOISO (BASTABALES)             ;;1;138;266;120;123;533;20;19;1;1355;15013;528855;4742250;38391;4757681;-83849;424953;-83855;424949;LOS DATOS DE 2005-06 Y 2007-08 SON PROVISIONALES PENDIENTES DE REVISION                             ;;;;;38279;4757475;
