indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
5001;ARROYO MARIA                       ;;1;583;54970;887;538;2105;78;88;9;5003;23097;514481;4225901;514481;4225901;-25005;381049;-25009;381045;MAXIMOS DE 2000-01 A 2004-05 Y DATOS DE 2012-13, 2013-14 Y 2016-17 PENDIENTES DE REVISION           ;;;;;514369;4225694;A40
5002;PUENTE CERRADA                     ;INT 1994                                                              ;0;1330;54970;927;341;2105;63;73;14;5009;23092;480561;4199938;480561;4199938;-31316;375646;-31321;375642;;;;;;480450;4199732;
5003;PEDRO MARIN (CALANCHA)             ;INT 1995                                                              ;0;8415;54970;927;315;3139;62;72;7;5053;23902;463835;4195945;463835;4195945;-32441;375435;-32445;375431;;;;;;463723;4195739;
5004;MENGIBAR                           ;;1;16166;54970;926;240;3139;92;101;20;5099;23061;429912;4204575;429912;4204575;-34753;375908;-34758;375903;MAXIMOS DE 2000-01 A 2004-05 Y DATOS DE 2010-11, 2013-14 Y 2016-17 PENDIENTES DE REVISION           ;;;;;429800;4204369;A08
5006;PEÑAFLOR                           ;INT 1973                                                              ;0;40252;54970;942;50;3478;40;50;3;5307;14049;294530;4174562;294530;4174562;-51949;374141;-51954;374136;;;;;;294419;4174357;
5007;PALMA DEL RIO                      ;INT 1982                                                              ;0;31676;54970;942;50;;13;13;0;5225;14049;298367;4177137;298367;4177137;-51715;374307;-51720;374303;;;;;;298256;4176932;
5008;CANTILLANA                         ;INT 1995                                                              ;0;44002;54970;963;12;3478;45;49;0;5337;41023;250240;4164250;250240;4164250;-54943;373527;-54948;373523;;;;;;250129;4164045;
5012;DOCTOR, EL                         ;;1;28;2275;929;1064;2128;79;88;12;5013;18098;529080;4193373;529080;4193373;-24010;375312;-24014;375308;MAXIMOS DE 2000-01 A 2004-05 Y 02_2015  Y DATOS 2016-17 PENDIENTES DE REVISION                      ;;;;;528969;4193166;
5014;BALLESTEROS                        ;;1;259;2275;950;982;;37;45;9;5015;18098;530468;4189548;530468;4189548;-23913;375108;-23917;375104;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;530357;4189341;
5016;VALCHILLON                         ;;1;2420;2425;944;94;;36;36;0;5192;14021;341284;4187620;341284;4187620;-44812;374918;-44816;374913;DATOS DE 2010-11 Y 2013-14 PENDIENTES DE REVISION                                                   ;;;;;341173;4187414;A14
5017;ORIGINAL, LA                       ;INT 2005                                                              ;0;120;930;929;850;;45;54;4;5025;18046;519306;4183354;519306;4183354;-24651;374748;-24655;374744;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;519195;4183147;
5018;MANZANO                            ;INT 1926                                                              ;0;5270;7181;971;540;;15;15;0;5044;18064;499348;4161187;499348;4161187;-30027;373550;-30031;373545;                                                                                                    ;;;;;499237;4160980;
5019;NEGRATIN                           ;;1;4144;7181;971;584;2381;70;73;16;5028;18064;503805;4157325;503805;4157325;-25725;373344;-25729;373340;DE 2000-01 A 04-05 MAX. PENDIENTES DE REVISION. MAX. INST. 1954-55 CORREGIDO. 2016-17 EN REVISION   ;;;;;503694;4157118;A26
5020;PINOS-GENIL                        ;;1;178;8415;1027;783;;45;45;5;5230;18157;456348;4113233;456348;4113233;-32930;370950;-32934;370945;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;456236;4113027;A23
5021;QUENTAR                            ;;1;51;140;1010;1060;2329;29;29;4;5231;18168;462351;4119622;462351;4119622;-32528;371318;-32532;371314;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;462239;4119416;
5023;POSITO                             ;;1;6349;7181;927;383;3139;65;74;14;5050;23092;481500;4192873;481500;4192873;-31237;375257;-31242;375253;MAXIMOS 05_2015 Y 06_2015 PENDIENTES DE REVISION. DATOS 2016-17 EN REVISION                         ;;;;;481389;4192667;A13
5024;HORNO DEL VIDRIO                   ;;1;136;310;948;697;;43;52;3;5052;23015;468431;4177939;468431;4177939;-32130;374451;-32135;374447;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION. DATOS 2016-17 EN REVISION                      ;;;;;468320;4177733;
5025;LLANO DE VELA                      ;;1;1240;1243;886;489;1675;74;84;19;5071;23029;505089;4241265;505089;4241265;-25630;381908;-25635;381903;MAXIMOS DE 2000-01 A 2004-05 Y DATOS DE 2010-11 PENDIENTES DE REVISION                              ;;;;;504977;4241058;A24
5027;RUINAS DE PUENTE                   ;;1;334;733;885;285;;51;59;13;5084;23076;453083;4221547;453083;4221547;-33207;380824;-33212;380819;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;452972;4221340;A41
5028;ARIZA                              ;INT 1994                                                              ;0;2659;5190;906;330;1809;48;57;13;5074;23092;468672;4219906;468672;4219906;-32127;380733;-32131;380729;;;;;;468560;4219700;
5029;MENGIBAR GUADALBULLON              ;;1;1111;1112;926;240;2167;93;103;16;5098;23061;431520;4203455;431520;4203455;-34647;375832;-34652;375827;MAXIMOS DE 2000-01 A 2004-05 Y DATOS DE 2010-11 PENDIENTES DE REVISION                              ;;;;;431408;4203249;A07
5031;HERRADURA, LA                      ;INT 2006                                                              ;0;3903;811;903;178;;28;35;0;5136;23059;390218;4213612;390218;4213612;-41505;380347;-41510;380342;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;390106;4213406;
5038;PUENTE BLANQUEO                    ;INT 1996                                                              ;0;139;140;1027;760;2329;48;58;10;5231;18157;454279;4113325;454279;4113325;-33054;370953;-33058;370948;                                                                                                    ;;;;;454167;4113119;
