ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
4001;PEÑARROYA;1;;13019;762;499519;4323754;499519;4323754;-30020;390344;-30025;390340;736.5;735;4001;62;62;499408;4323546;E1-01
4002;CIJARA;1;;10017;708;326561;4360331;326561;4360331;-50048;392228;-50053;392223;429.5;427.5;4059;63;63;326451;4360124;E2-01
4003;GARCIA DE SOLA;1;LOS DATOS DE 2008-09 ESTAN PENDIENTES DE REVISION                                                                       ;6127;756;311310;4335274;311310;4335274;-51100;390844;-51105;390840;363;362.6;4065;59;59;311200;4335067;E2-03
4004;ORELLANA;1;LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ;6097;779;280297;4318485;280297;4318485;-53211;385914;-53216;385909;320;318;4065;61;62;280187;4318279;E2-04
4005;GASSET;1;;13040;759;419052;4331681;419052;4331681;-35611;390748;-35616;390743;624;625.5;4027;62;77;418941;4331474;E1-05
4006;ZUJAR;1;DATOS DE 2003-04 SUJETOS A REVISION. DATOS MODIFICADOS DE SALIDAS 2012-13 (ANUARIO 13-14)                               ;6048;780;285227;4310676;285227;4310676;-52838;385505;-52843;385501;320;318;4082;58;58;285117;4310470;E2-07
4007;TORRE DE ABRAHAM;1;;13072;710;392042;4358617;392042;4358617;-41512;392211;-41516;392206;673.7;673.5;4036;43;43;391932;4358410;E1-09
4008;VICARIO, EL;1;;13034;759;413828;4324048;413828;4324048;-35945;390338;-35950;390334;601;595;4029;43;43;413717;4323841;E1-06
4010;SERENA, LA;1;LOS DATOS DE 2003-04 A 2005-06, 2008-09 ESTAN PENDIENTES DE REVISION                                                    ;6036;780;290795;4310001;290795;4310001;-52446;385448;-52451;385444;354;352.1;4082;32;33;290685;4309795;E2-06
4011;ALANGE;1;LOS DATOS DE 2003-04 A 2005-06, 2011-12, 2012-13 SON PROVISIONALES SUJETOS A REVISION                                   ;6004;803;737417;4296940;216248;4298461;-61600;384719;-61605;384715;275.6;275.6;4109;31;32;216139;4298256;E2-16
4012;CHANZA;1;LOS DATOS DE 2003-04, 2005-06  Y 2016-17 SON PROVISIONALES SUJETOS A REVISION                                           ;21037;958;630772;4158034;100718;4166615;-73110;373334;-73115;373329;63.2;63;4162;28;28;100608;4166412;E3-01
4013;CORNALBO;1;CAMBIO DE CAPACIDAD DEL EMBALSE DESDE ANUARIO 2012-13                                                                   ;6083;777;743421;4319484;223723;4320567;-61123;385924;-61128;385919;;307.5;4111;25;26;223614;4320361;E2-17
4014;PROSERPINA;1;;6083;777;728288;4316938;208450;4319023;-62154;385816;-62159;385811;245;244.6;4980;25;26;208341;4318817;E2-18
4015;VILLAR DEL REY;1;LOS DATOS DE 2008-09 Y DE 2011-12 A 2016-17 ESTAN PENDIENTES DE REVISION                                                ;6155;750;684467;4336019;165955;4340969;-65155;390911;-65200;390907;245.9;242.9;4138;25;26;165847;4340763;E2-24
4016;MONTIJO;1;LOS DATOS DE 2003-04 A 2005-06, 2008-09, 2011-12, 2015-16 Y 2016-17 ESTAN PENDIENTES DE REVISION                        ;6083;777;723013;4311650;202836;4314092;-62539;385529;-62544;385525;204.1;202.1;4114;25;26;202727;4313887;E2-19
4017;MOLINOS DE MATACHEL, LOS;1;LOS DATOS DE 2011-12 ESTAN PENDIENTES DE REVISION                                                                       ;6069;830;751060;4269116;228044;4269798;-60711;383204;-60716;383159;351.8;350;4104;25;26;227934;4269593;E2-15
4018;BOQUERON, EL;1;LOS DATOS DE 2013-14 A 2015-16 ESTAN PENDIENTES DE REVISION                                                             ;6038;752;723219;4336934;204710;4339319;-62501;390908;-62506;390904;330.7;330;4998;25;26;204601;4339113;E2-21
4019;HORNO TEJERO;1;LOS DATOS DE 2008-09, 2009-10, 2012-13 Y 2013-14, 2015-16 Y 2016-17 ESTAN PENDIENTES DE REVISION                        ;6038;752;721934;4337051;203435;4339521;-62554;390913;-62559;390909;324.8;324;4115;25;26;203326;4339315;E2-20
4020;TENTUDIA;1;LOS DATOS DE 2008-09, 2014-15, 2015-16, 2016-17 Y 2018-19 ESTAN PENDIENTES DE REVISION                                  ;6026;897;735482;4220406;209332;4222191;-61853;380601;-61857;380556;669.5;668;4997;25;26;209222;4221986;E2-28
4021;CANCHALES, LOS;1;LOS DATOS DE 2008-09, 2013-14, 2015-16 Y 2016-17 ESTAN PENDIENTES DE REVISION                                           ;6088;776;714763;4315933;194882;4318911;-63117;385755;-63122;385751;224.6;222.1;4115;25;26;194773;4318706;E2-22
4038;CANCHO DEL FRESNO;1;LOS DATOS DE 2018-19 ESTAN PENDIENTES DE REVISION                                                                       ;10044;707;294262;4363326;294262;4363326;-52320;392339;-52325;392335;628.5;626;4086;14;14;294152;4363120;E2-08
4041;MARISANCHEZ (CABEZUELA, LA);1;LOS DATOS DE 2009-10 ESTAN PENDIENTES DE REVISION                                                                       ;13087;812;476050;4282791;476050;4282791;-31631;384134;-31636;384130;763.6;763;4030;21;21;475939;4282584;E1-07
4043;RUECAS;1;;10109;732;284743;4349661;284743;4349661;-52942;391608;-52947;391604;390.6;389.1;4086;14;14;284633;4349455;E2-09
4044;SIERRA BRAVA;1;LOS DATOS DE 2018-19 ESTAN PENDIENTES DE REVISION                                                                       ;10219;731;271653;4341721;271653;4341721;-53838;391139;-53843;391134;331.6;331.6;4087;14;14;271543;4341515;E2-11
4045;VEGA DEL JABALON, LA;1;;13027;811;431965;4290640;431965;4290640;-34659;384540;-34704;384536;640.3;639;4030;21;21;431854;4290433;E1-08
4047;CUBILAR;1;LOS DATOS DE 2013-14, 2016-17 Y 2018-19 ESTAN PENDIENTES DE REVISION                                                    ;10109;732;286373;4346299;286373;4346299;-52831;391421;-52835;391416;352;350.5;4988;14;14;286263;4346093;E2-13
4048;GARGALIGAS;1;LOS DATOS DE 2011-12, 2013-14 Y 2016-17 ESTAN PENDIENTES DE REVISION                                                    ;6102;732;296595;4340411;296595;4340411;-52118;391119;-52123;391114;357.2;355.6;4089;14;14;296485;4340205;E2-12
4050;PUERTO VALLEHERMOSO;1;;13010;787;485450;4302455;485450;4302455;-31004;385213;-31008;385208;750;749.5;4004;21;21;485339;4302248;E1-02
