indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
4001;LAGUNA CONCEJO                     ;INT 1977                                                              ;0;478;66889;788;840;1072;40;40;0;4001;2057;514964;4308897;514964;4308897;-24939;385542;-24943;385537;;;;;;514854;4308689;
4002;LAGUNA DE SAN PEDRO                ;INT 1977                                                              ;0;716;66889;788;820;1074;32;32;0;4001;2057;513477;4309880;513477;4309880;-25040;385614;-25045;385609;;;;;;513367;4309672;
4003;LAGUNA DEL REY                     ;INT 1983                                                              ;0;848;66889;787;780;;24;24;0;4001;13902;509739;4313929;509739;4313929;-25315;385825;-25320;385821;;;;;;509629;4313721;
4004;CUBETA, LA                         ;;1;856;66889;787;758;1074;87;97;39;4001;13902;509352;4314500;509352;4314500;-25331;385844;-25336;385839;CG 2005-11, DATOS 2010-11 Y 2019-20 PROVISIONAL. FIABILIDAD ESCASA CG 2013-14 PARA VALORES ALTOS    ;;;;;509242;4314292;CR1-26
4007;TORREBLANCA                        ;INT 1959                                                              ;0;16130;66889;759;600;;37;47;0;4029;13034;413463;4323317;413463;4323317;-40000;390314;-40005;390310;;;;;;413352;4323110;
4008;BALBUENA O VALBUENA                ;INT 2002                                                              ;0;18816;66889;784;558;1208;46;46;31;4031;13035;403400;4305701;403400;4305701;-40650;385339;-40655;385335;;;;;;403289;4305494;
4009;LUCIANA                            ;INT 2010                                                              ;0;21072;66889;783;525;1430;48;53;14;4041;13051;386906;4315891;386906;4315891;-41820;385903;-41825;385858;CURVAS DE GASTO 2005-06 A 2008-09 PROVISIONALES, PENDIENTES DE REVISION                             ;;;;;386795;4315684;
4010;CIJARA                             ;INT 1931                                                              ;0;24354;66889;708;375;;14;18;0;4059;10017;326193;4359937;326193;4359937;-50103;392215;-50108;392210;;;;;;326083;4359730;
4011;PUENTE DE RETAMA                   ;INT 1976                                                              ;0;22136;66889;758;490;1430;3;3;0;4045;13068;370894;4320015;370894;4320015;-42929;390108;-42933;390104;;;;;;370784;4319808;
4012;GARCIA SOLA                        ;INT 1978                                                              ;0;25750;66889;756;318;1447;23;26;0;4065;6127;311516;4334664;311516;4334664;-51051;390824;-51056;390820;;;;;;311406;4334457;
4013;ORELLANA                           ;INT 2001                                                              ;0;26125;66889;754;258;1447;35;35;0;4065;6044;270676;4322371;270676;4322371;-53856;390111;-53900;390106;;;;;;270566;4322165;
4014;VILLANUEVA DE LA SERENA            ;;1;34771;66889;754;250;1447;94;102;26;4085;6153;257617;4322899;257617;4322899;-54759;390115;-54803;390111;CG 2005-11 Y DATOS 2010-11 PROVISIONALES. FIABILIDAD ESCASA CG 2013-14 PARA VALORES ELEVADOS        ;;;;;257507;4322693;
4015;MERIDA                             ;;1;41924;66889;777;205;1601;32;32;0;4110;6083;729885;4310751;209637;4312742;-62055;385454;-62100;385449;CURVAS DE GASTO 2005-06 A 2008-09 PROVISIONALES, PENDIENTES DE REVISION                             ;;;;;209528;4312536;
4016;MEDELLIN                           ;INT 1931                                                              ;0;37216;66889;778;238;;14;19;0;4095;6080;243442;4317566;243442;4317566;-55740;385808;-55745;385804;;;;;;243333;4317360;
4017;MIRALRIO                           ;INT 1931                                                              ;0;41921;66889;777;205;;18;27;0;4110;6083;730356;4310040;210060;4312001;-62037;385430;-62041;385426;;;;;;209951;4311795;
4018;PUENTE DE PALMAS                   ;INT 1995                                                              ;0;48515;66889;775;165;1601;73;82;7;4142;6015;675588;4305874;155097;4311445;-65833;385301;-65838;385256;;;;;;154989;4311240;
4019;BENAVIDES                          ;INT 1999                                                              ;0;48570;66889;801;155;;67;77;6;4142;6015;666903;4300998;146100;4307145;-70437;385029;-70442;385024;;;;;;145992;4306940;
4020;MONTE DE VINHA                     ;SIN DATOS                                                             ;0;49500;66889;775;150;1601;0;0;0;4142;6015;666523;4300280;145673;4306453;-70454;385006;-70458;385001;;;;;;145565;4306248;
4022;MAGADALENA                         ;INT 1923                                                              ;0;874;66889;787;745;;11;11;0;4001;13019;508001;4316253;508001;4316253;-25427;385941;-25432;385936;;;;;;507890;4316045;
4024;PUENTE NAVARRO                     ;INT 1984                                                              ;0;14497;66889;760;615;;9;9;7;4025;13039;434137;4329728;434137;4329728;-34542;390649;-34547;390645;;;;;;434026;4329521;
4027;PUENTE DE LOS SUSPIROS             ;SIN DATOS                                                             ;0;43210;66889;776;182;;0;0;0;4116;6103;707349;4304399;186720;4307883;-63637;385148;-63642;385144;;;;;;186611;4307678;
4028;VADO DE TALAVERA LA REAL           ;INT 1977                                                              ;0;44671;66889;776;178;1601;4;3;2;4122;6015;693951;4308751;173627;4313110;-64548;385420;-64553;385416;;;;;;173518;4312905;
4029;BADEN DE TORREMAYOR                ;INT 1979                                                              ;0;42563;66889;777;195;;4;4;3;4114;6083;718501;4307373;198050;4310119;-62851;385315;-62856;385310;;;;;;197941;4309914;
4030;AZUD DE BADAJOZ                    ;;1;48530;66889;775;166;1601;26;26;9;4142;6015;672127;4303542;151486;4309343;-70058;385148;-70103;385143;CG 2005-06 A 2009-10 PROVIS. POCA FIABILIDAD CG 2013-14 VALORES ALTOS. 2016-17 Y 2019-20 PROVISIONAL;;;;;151378;4309138;E2-25
4101;VALLEHERMOSO                       ;INT 1996                                                              ;0;470;1721;787;742;1087;74;84;25;4004;13010;487067;4299903;487067;4299903;-30857;385050;-30901;385046;;;;;;486956;4299696;
4102;DAIMIEL                            ;;1;1699;1721;760;619;1887;64;62;15;4006;13039;448198;4325541;448198;4325541;-33556;390436;-33601;390432;LOS DATOS DE 2006-07, 2010-11 y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                   ;;;;;448087;4325334;CR1-03
4103;PUENTE MORENA                      ;INT 2002                                                              ;0;2337;2362;784;580;1037;54;54;30;4030;13035;411672;4305173;411672;4305173;-40106;385325;-40111;385321;;;;;;411561;4304966;
4104;ZUJAR                              ;INT 1978                                                              ;0;7637;8511;780;275;1252;16;16;0;4082;6036;285128;4310682;285128;4310682;-52842;385505;-52847;385501;;;;;;285018;4310476;
4105;VILLANUEVA DE LA SERENA            ;;1;8508;8511;754;250;1252;69;75;1;4084;6153;261223;4320637;261223;4320637;-54526;390006;-54531;390001;CURVAS DE GASTO 2005-06 A 2008-09 PROVISIONALES, PENDIENTES DE REVISION                             ;;;;;261113;4320431;
4108;ABENOJAR                           ;;1;734;912;783;569;1004;34;32;11;4042;13001;378263;4305627;378263;4305627;-42413;385326;-42418;385321;LOS DATOS DE 2008-09, 2010-11 y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                   ;;;;;378152;4305420;CR1-22
4109;CARRIZOSA                          ;SIN DATOS                                                             ;0;75;1721;813;810;;0;0;0;4002;13057;499870;4296696;499870;4296696;-30005;384906;-30010;384902;;;;;;499759;4296489;
4121;PEÑARROYA                          ;;1;950;66889;783;704;;4;4;0;4001;13019;498552;4323086;498552;4323086;-30100;390322;-30105;390318;LOS DATOS DE 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;498441;4322878;CR1-01
4122;VALLEHERMOSO                       ;;1;524;1721;787;728;;11;10;0;4004;13010;484883;4303005;484883;4303005;-31027;385230;-31032;385226;LOS DATOS DE 2010-11, 2016-17,  2018-19 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION         ;;;;;484772;4302798;CR1-02
4123;GASSET                             ;;1;163;183;759;615;;11;11;0;4027;13040;419332;4331472;419332;4331472;-35600;390741;-35604;390737;LOS DATOS DE 2010-11, 2016-17 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                   ;;;;;419221;4331265;CR1-23
4124;SAELICES                           ;;1;552;10582;633;787;;11;11;0;4012;16186;517134;4415064;517134;4415064;-24759;395305;-24803;395301;LOS DATOS DE 2010-11, 2016-17 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                   ;;;;;517024;4414856;CR1-04
4126;CORRAL                             ;INT 2010                                                              ;0;526;977;688;700;;2;2;0;4015;45054;485840;4401303;485840;4401303;-30955;394539;-30960;394535;;;;;;485730;4401095;CR1-06
4129;SOCUELLAMOS                        ;;1;3440;5596;714;666;;11;11;0;4023;13078;510457;4355074;510457;4355074;-25243;392040;-25248;392035;LOS DATOS DE 2010-11, 2016-17 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                   ;;;;;510347;4354866;CR1-09
4130;CORCOLES EN CABECERA               ;;1;129;368;763;819;;11;11;0;4022;2019;537889;4326680;537889;4326680;-23343;390516;-23347;390512;LOS DATOS DE 2010-11 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                            ;;;;;537779;4326472;CR1-10
4131;CORCOLES EN SOCUELLAMOS            ;;1;324;368;740;675;;10;8;0;4022;13078;518041;4350500;518041;4350500;-24727;391811;-24731;391807;LOS DATOS DE 2010-11 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                            ;;;;;517931;4350292;CR1-11
4133;CONSUEGRA                          ;;1;197;10582;712;700;;11;10;0;4017;45053;449025;4368512;449025;4368512;-33533;392750;-33538;392746;LOS DATOS DE 2010-11, 2016-17 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                   ;;;;;448914;4368304;CR1-13
4134;HERENCIA                           ;INT 2012                                                              ;0;467;10582;713;638;;4;4;0;4017;13047;472321;4358976;472321;4358976;-31917;392245;-31922;392241;LOS DATOS DE 2010-11 Y 2011-12 SON PROVISIONALES PENDIENTES DE REVISION                             ;;;;;472210;4358768;CR1-14
4136;FERNANCABALLERO                    ;;1;412;687;759;606;;10;9;0;4028;13040;420353;4328723;420353;4328723;-35516;390612;-35521;390608;LOS DATOS DE 2010-11, 2016-17 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                   ;;;;;420242;4328516;CR1-16
4137;VICARIO                            ;;1;16382;66889;759;587;;11;11;0;4029;13062;411064;4322139;411064;4322139;-40140;390235;-40144;390231;LOS DATOS DE 2010-11 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                            ;;;;;410953;4321932;CR1-17
4138;CABEZUELA, LA                      ;;1;544;2362;812;740;;11;10;0;4030;13087;475650;4282456;475650;4282456;-31648;384123;-31653;384119;LOS DATOS DE 2010-11 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                            ;;;;;475539;4282249;CR1-18
4139;VEGA JABALON                       ;INT 2011                                                              ;0;1436;2362;812;624;;3;3;0;4030;13027;431723;4290565;431723;4290565;-34709;384538;-34714;384533;LOS DATOS DE 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;431612;4290358;CR1-19
4140;TORRE ABRAHAM                      ;;1;750;2034;710;599;;11;10;0;4036;13065;390789;4346418;390789;4346418;-41557;391534;-41602;391530;LOS DATOS DE 2010-11, 2016-17 Y 2019-20 SON PROVISIONALES, PENDIENTES DE REVISION                   ;;;;;390679;4346211;CR1-20
