indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih
8014,TRAMACASTILLA,,1,95,6394,565,1278,1842.0,67,67,49,8130,44235,620906,4475223,620906,4475223,-13430,402505,-13434,402502,,620797,4475014,3A02
8028,VILLALBA ALTA,,1,478,1398,542,1060,2024.0,76,76,56,8137,44182,671349,4498136,671349,4498136,-5828,403656,-5833,403653,,671240,4497927,3A01
8030,"TERDE, EL",,1,665,4028,614,845,2024.0,75,75,57,8176,44210,689692,4448508,689692,4448508,-4621,400953,-4626,400949,,689582,4448299,2E01
8032,CUENCA,,1,984,21579,610,916,1839.0,99,109,60,8040,16078,573200,4436420,573200,4436420,-20830,400427,-20834,400423,,573091,4436212,4A01
8087,BELMONTEJO,,1,187,208,662,830,1062.0,81,91,30,8045,16034,556175,4408006,556175,4408006,-22037,394910,-22042,394906,,556065,4407798,4R04
8090,PAJARONCILLO,,1,829,4754,636,940,1839.0,72,72,57,8077,16147,610230,4422140,610230,4422140,-14235,395630,-14240,395625,,610121,4421931,5A01
8091,CASTELLAR,,1,1793,21579,634,817,1839.0,55,55,37,8044,16191,561000,4411800,561000,4411800,-21713,395112,-21718,395108,,560890,4411592,4A02
8092,CAMPORROBLES,,1,720,744,664,670,1597.0,84,94,30,8088,16126,623420,4392418,623420,4392418,-13340,394019,-13329,394001,,623310,4392210,4R01
8097,MONTEMAYOR,,1,90,119,815,1010,1468.0,70,70,54,8056,2022,567535,4286768,567535,4286768,-21323,384335,-21328,384331,,567425,4286560,7A04
8137,TIRIEZ,,1,217,628,789,810,,52,52,34,8999,2043,564838,4305716,564838,4305716,-21508,385350,-21514,385346,,564728,4305508,7P16
8138,BALAZOTE,,1,792,2821,790,742,1522.0,52,52,34,8057,2012,576498,4306504,576498,4306504,-20704,385412,-20709,385408,,576388,4306296,7P03
