indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
8001;MOLINO CHIRLETS                    ;INT 1930                                                              ;0;1;197;546;139;;19;19;0;8220;12099;281700;4496298;789499;4498726;2514;403517;2510;403513;;;;;;789390;4498516;
8002;SERVOL                             ;INT 1929                                                              ;0;337;347;571;42;;18;14;0;8214;12138;282553;4485812;791064;4488318;2603;402938;2559;402934;;;;;;790955;4488108;
8003;BABOR                              ;INT 1944                                                              ;0;788;4028;614;855;;23;30;0;8176;44158;689427;4448770;689427;4448770;-4632;401002;-4637;400958;;;;;;689317;4448561;
8004;MONTANEJOS                         ;INT 1964                                                              ;0;1606;4028;615;453;;43;53;1;8186;12079;711583;4438447;711583;4438447;-3108;400409;-3113;400404;;;;;;711473;4438238;
8005;VILLARREAL                         ;;1;2504;4028;641;50;2024;95;105;52;8194;12135;745933;4427457;745933;4427457;-715;395740;-721;395736;;;;;;745823;4427248;1E07
8006;VILLARREAL                         ;INT 1931                                                              ;0;4018;4028;641;33;;20;21;0;8202;12009;749480;4426500;749480;4426500;-447;395704;-452;395700;;;;;;749370;4426291;
8007;VILLAHERMOSA                       ;INT 1931                                                              ;0;451;450;592;249;;9;16;0;8191;12123;726810;4435050;726810;4435050;-2031;400205;-2035;400201;;;;;;726700;4434841;
8009;M. DEL RETOR                       ;INT 1976                                                              ;0;41;197;521;510;1358;27;27;17;8218;12093;265570;4508740;772553;4510045;1332;404144;1327;404147;;;;;;772444;4509835;
8010;M. DEL VIDRIO                      ;INT 1976                                                              ;0;48;51;521;490;1246;22;22;16;8219;12093;264650;4505805;771838;4507085;1332;404008;1337;404004;;;;;;771729;4506875;
8011;SOT FERRER                         ;INT 1943                                                              ;0;659;911;668;213;;22;32;0;8168;12107;722115;4409345;722115;4409345;-2420;394815;-2425;394811;;;;;;722005;4409136;
8012;HORCAJO                            ;INT 1984                                                              ;0;315;316;614;830;2020;43;52;8;8177;44010;691650;4446430;691650;4446430;-4501;400844;-4505;400840;;;;;;691540;4446221;
8013;OLOCAU                             ;INT 1920                                                              ;0;147;314;667;86;;9;9;0;8166;46070;718412;4386362;718412;4386362;-2723;393554;-2727;393550;;;;;;718302;4386153;
8014;TRAMACASTILLA                      ;;1;95;6394;565;1278;1842;67;67;49;8130;44235;620906;4475223;620906;4475223;-13430;402505;-13434;402502;;;;;;620797;4475014;3A02
8015;TERUEL                             ;;1;2357;6394;567;851;2024;91;101;50;8140;44216;660526;4467750;660526;4467750;-10636;402039;-10641;402035;LOS DATOS DE 2016-17 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;660417;4467541;3A03
8016;ADEMUZ                             ;INT 1984                                                              ;0;3593;6394;612;707;2024;30;35;4;8148;46001;646390;4436475;646390;4436475;-11701;400355;-11705;400350;;;;;;646281;4436266;
8017;BENITANDUS                         ;INT 1946                                                              ;0;18;239;640;312;;2;2;0;8172;12021;727717;4423357;727717;4423357;-2007;395545;-2012;395540;;;;;;727607;4423148;
8018;ZAGRA                              ;;1;4052;6394;638;540;2024;71;71;52;8150;46247;658720;4411888;658720;4411888;-10842;395029;-10847;395025;;;;;;658611;4411679;6A01
8019;MONTABERNER                        ;INT 1953                                                              ;0;60;1301;795;166;;28;38;0;8109;46173;717097;4307663;717097;4307663;-2949;385325;-2953;385321;;;;;;716987;4307455;
8020;DOMEÑO                             ;INT 1951                                                              ;0;4304;6394;666;340;;30;40;0;8152;46114;676175;4397295;676175;4397295;-5642;394224;-5647;394220;;;;;;676065;4397086;
8021;ENGUIDANOS                         ;INT 1974                                                              ;0;2456;4754;692;673;1839;31;31;27;8085;16082;622250;4389790;622250;4389790;-13431;393855;-13435;393850;;;;;;622140;4389582;
8022;BUGARRA                            ;;1;5375;6394;695;160;2024;79;89;33;8158;46076;690460;4386471;690460;4386471;-4654;393622;-4658;393618;                                                                                                    ;;;;;690350;4386262;OA01
8023;VILLAMARCHANTE                     ;INT 1930                                                              ;0;6019;6394;695;78;;19;19;0;8164;46256;706354;4382412;706354;4382412;-3552;393357;-3557;393353;;;;;;706245;4382203;
8024;ORCHETA                            ;INT 1985                                                              ;0;82;83;847;140;1558;37;37;22;8016;3098;738925;4271695;738925;4271695;-1529;383339;-1533;383335;;;;;;738815;4271487;
8025;PRESA, LA                          ;;1;6294;6394;696;50;2024;97;107;58;8164;46159;714527;4377811;714527;4377811;-3016;393121;-3020;393117;;;;;;714417;4377602;OE03
8026;ROBELLA                            ;INT 1924                                                              ;0;6190;6394;722;17;;13;13;0;8164;46250;722996;4372854;722996;4372854;-2427;392833;-2432;392828;;;;;;722886;4372645;
8027;TERUEL                             ;;1;1396;1398;567;885;2024;99;107;59;8139;44216;659634;4469301;659634;4469301;-10713;402130;-10717;402126;;;;;;659525;4469092;3A03
8028;VILLALBA ALTA                      ;;1;478;1398;542;1060;2024;76;76;56;8137;44182;671349;4498136;671349;4498136;-5828;403656;-5833;403653;;;;;;671240;4497927;3A01
8029;MONTABERNER                        ;;1;320;1301;795;162;;31;31;15;8109;46173;717336;4307944;717336;4307944;-2939;385334;-2944;385331;LOS DATOS DE 2016-17 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;717226;4307736;7A03
8030;TERDE, EL                          ;;1;665;4028;614;845;2024;75;75;57;8176;44210;689692;4448508;689692;4448508;-4621;400953;-4626;400949;;;;;;689582;4448299;2E01
8031;BUSEO (EMBALSE)                    ;INT 1967                                                              ;0;217;248;694;412;;22;22;12;8157;46108;677190;4385610;677190;4385610;-5611;393604;-5615;393600;;;;;;677080;4385401;
8032;CUENCA                             ;;1;984;21579;610;916;1839;99;109;60;8040;16078;573200;4436420;573200;4436420;-20830;400427;-20834;400423;;;;;;573091;4436212;4A01
8033;OLIVARES                           ;INT 1931                                                              ;0;2180;21579;662;806;;18;26;0;8046;16139;560215;4399455;560215;4399455;-21750;394431;-21754;394426;;;;;;560105;4399247;
8036;FRAILES, LOS                       ;;1;5403;21579;766;616;1839;95;105;53;8050;2003;608192;4333000;608192;4333000;-14453;390820;-14459;390815;;;;;;608082;4332792;7A05
8037;JALANCE                            ;INT 1931                                                              ;0;8122;21579;745;348;;20;30;0;8071;46142;666215;4340640;666215;4340640;-10431;391155;-10435;391150;;;;;;666105;4340432;
8038;COFRENTES                          ;INT 1951                                                              ;0;12190;21579;745;320;;30;40;6;8072;46097;667840;4343385;667840;4343385;-10321;391322;-10325;391318;;;;;;667730;4343177;
8039;CONFLUENCIA                        ;INT 1992                                                              ;0;16955;21579;745;310;;36;39;0;8098;46097;669715;4345545;669715;4345545;-10201;391431;-10205;391427;;;;;;669605;4345337;
8042;TOUS SALIDA EMBALSE                ;;1;17821;21579;769;54;1839;92;101;47;8104;46236;703650;4333570;703650;4333570;-3839;390737;-3844;390733;;;;;;703540;4333362;7E04
8043;CARCER                             ;INT 1948                                                              ;0;14674;21579;769;37;;27;37;0;8106;46053;712039;4328649;712039;4328649;-3256;390450;-3260;390446;;;;;;711929;4328441;
8044;GABARDA                            ;INT 1961                                                              ;0;14671;21579;769;34;;40;50;1;8106;46130;711322;4329703;711322;4329703;-3324;390525;-3329;390520;;;;;;711212;4329495;
8045;ALCIRA                             ;INT 1976                                                              ;0;19683;21579;770;20;1839;55;65;30;8116;46017;720575;4336720;720575;4336720;-2651;390904;-2656;390900;;;;;;720465;4336511;
8046;CARBONELL                          ;INT 1946                                                              ;0;16370;21579;747;16;;25;35;0;8118;46017;722879;4339845;722879;4339845;-2512;391043;-2516;391039;;;;;;722769;4339636;
8047;HUERTO DE GOIG                     ;INT 1943                                                              ;0;17986;21579;747;16;;22;32;0;8126;46197;724463;4342341;724463;4342341;-2403;391202;-2407;391158;;;;;;724353;4342132;
8048;ALBALAT DE LA RIBERA               ;INT 1946                                                              ;0;17987;21579;747;8;;25;35;0;8126;46197;725351;4342514;725351;4342514;-2325;391207;-2330;391203;;;;;;725241;4342305;
8049;CULLERA                            ;INT 1996                                                              ;0;18085;21579;747;7;;32;42;2;8126;46105;735540;4340365;735540;4340365;-1624;391048;-1628;391044;;;;;;735430;4340156;
8050;VILLORA                            ;INT 1931                                                              ;0;2199;4754;664;672;;16;26;0;8079;16082;619065;4395500;619065;4395500;-13641;394201;-13645;394157;;;;;;618955;4395292;
8051;TERESA DE COFRENTES                ;INT 1931                                                              ;0;205;1206;768;462;;20;21;0;8069;46239;669070;4331430;669070;4331430;-10240;390654;-10245;390650;;;;;;668960;4331222;
8052;TERRERA, LA                        ;INT 1965                                                              ;0;3741;4754;719;440;;43;53;1;8091;2024;634225;4358510;634225;4358510;-12631;392153;-12635;392148;;;;;;634115;4358302;
8053;VILLATOYA                          ;INT 1979                                                              ;0;3912;4754;719;390;1839;35;45;0;8091;2082;643000;4356000;643000;4356000;-12027;392027;-12031;392022;;;;;;642890;4355792;
8055;ESCALONA                           ;INT 1931                                                              ;0;517;516;769;84;;10;13;0;8103;46246;702865;4334405;702865;4334405;-3911;390804;-3915;390800;;;;;;702755;4334197;
8057;MONTABERNER                        ;INT 1984                                                              ;0;261;261;795;154;1081;48;58;4;8108;46027;716969;4307836;716969;4307836;-2954;385331;-2959;385327;;;;;;716859;4307628;
8058;BELLUS                             ;INT 1953                                                              ;0;519;1301;795;115;;28;38;0;8109;46049;718070;4314755;718070;4314755;-2901;385714;-2905;385710;;;;;;717960;4314547;
8059;VILLANUEVA DE CASTELLON            ;INT 1948                                                              ;0;1263;1301;770;35;;23;33;0;8115;46257;714820;4327780;714820;4327780;-3101;390419;-3105;390415;;;;;;714710;4327572;
8060;REQUENA                            ;;1;668;1544;720;650;1419;75;85;21;8121;46213;662099;4371752;662099;4371752;-10655;392846;-10700;392842;;;;;;661989;4371544;5A02
8062;ALCUDIA DE CRESPINS                ;INT 2005                                                              ;0;2;6;794;161;300;46;46;39;8111;46020;707921;4317200;707921;4317200;-3559;385842;-3604;385838;;;;;;707811;4316992;
8064;ALBORCHI                           ;INT 1953                                                              ;0;139;72;770;19;;32;36;0;8114;46017;721221;4336391;721221;4336391;-2625;390853;-2629;390848;;;;;;721111;4336182;
8067;JATIVA                             ;INT 1953                                                              ;0;585;642;794;99;;28;38;0;8112;46096;711157;4317438;711157;4317438;-3345;385847;-3349;385843;;;;;;711047;4317230;
8070;MURO                               ;INT 1952                                                              ;0;362;753;821;325;;8;8;5;8029;3092;725345;4296140;725345;4296140;-2421;384704;-2425;384700;;;;;;725235;4295932;
8071;VILLALONGA                         ;;1;547;753;795;190;;55;65;10;8029;46255;735791;4306139;735791;4306139;-1655;385219;-1659;385215;LOS DATOS DE 2016-17 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;735681;4305931;
8074;FUENTE DEL BAÑO, LA                ;;1;478;911;640;370;1618;74;74;54;8168;12081;712635;4417997;712635;4417997;-3048;395305;-3053;395301;;;;;;712525;4417788;0E01
8076;CALLOSA                            ;INT 1931                                                              ;0;121;123;848;60;;20;24;0;8020;3094;754470;4279120;754470;4279120;-438;383725;-442;383720;;;;;;754360;4278911;
8077;ALGAR                              ;INT 1951                                                              ;0;73;216;848;51;;30;37;0;8019;3048;754627;4279983;754627;4279984;-430;383752;-434;383748;;;;;;754517;4279775;
8078;ORCHETA                            ;INT 1987                                                              ;0;103;205;847;170;1202;61;71;24;8015;3098;737750;4271445;737750;4271445;-1618;383333;-1622;383328;;;;;;737640;4271237;
8079;MUCHAMIEL                          ;INT 1945                                                              ;0;423;487;872;110;;24;34;0;8013;3090;721040;4258455;721040;4258455;-2802;382647;-2807;382643;;;;;;720930;4258247;
8080;BENEJAMA                           ;INT 1931                                                              ;0;101;1692;820;620;;20;28;0;8001;3023;698490;4287265;698490;4287265;-4302;384240;-4307;384236;;;;;;698380;4287057;
8081;SANTA EULALIA                      ;INT 1971                                                              ;0;862;1692;846;480;1210;39;49;0;8003;3140;687530;4271405;687530;4271405;-5051;383414;-5055;383410;;;;;;687420;4271197;
8083;ASPE                               ;INT 1971                                                              ;0;1639;1692;871;166;1210;50;59;22;8005;3019;698976;4245490;698976;4245490;-4325;382005;-4329;382001;;;;;;698866;4245282;
8085;MAHORA                             ;INT 1948                                                              ;0;567;949;743;645;;22;32;0;8051;2046;608915;4338415;608915;4338415;-14420;391115;-14425;391111;;;;;;608805;4338207;
8086;GUADAZAON                          ;INT 1925                                                              ;0;947;987;664;680;;10;10;0;8082;16082;617060;4396445;617060;4396445;-13804;394233;-13808;394229;;;;;;616950;4396237;
8087;BELMONTEJO                         ;;1;187;208;662;830;1062;81;91;30;8045;16034;556175;4408006;556175;4408006;-22037;394910;-22042;394906;;;;;;556065;4407798;4R04
8088;VALVERDE                           ;INT 1952                                                              ;0;363;393;662;795;;26;36;0;8047;16236;567495;4397175;567495;4397175;-21245;394316;-21249;394311;;;;;;567385;4396967;
8089;HUERTO MULET                       ;;1;21497;21579;747;18;1839;75;75;55;8126;46029;723807;4341072;723807;4341072;-2431;391122;-2437;391118;;;;;;723697;4340863;7A02
8090;PAJARONCILLO                       ;;1;829;4754;636;940;1839;72;72;57;8077;16147;610230;4422140;610230;4422140;-14235;395630;-14240;395625;;;;;;610121;4421931;5A01
8091;CASTELLAR                          ;;1;1793;21579;634;817;1839;55;55;37;8044;16191;561000;4411800;561000;4411800;-21713;395112;-21718;395108;;;;;;560890;4411592;4A02
8092;CAMPORROBLES                       ;;1;720;744;664;670;1597;84;94;30;8088;16126;623420;4392418;623420;4392418;-13340;394019;-13329;394001;;;;;;623310;4392210;4R01
8093;MACASTRE                           ;;1;1075;1544;721;290;1419;79;88;49;8123;46158;687510;4357410;687510;4357410;-4927;392043;-4932;392038;;;;;;687400;4357201;0R01
8095;TOGA                               ;INT 1957                                                              ;0;1836;4028;615;274;;10;10;7;8190;12113;725325;4435860;725325;4435860;-2132;400232;-2137;400228;;;;;;725215;4435651;
8096;ARQUILLO SAN BLAS SALIDA E.        ;;1;815;6394;566;918;1855;71;71;51;8134;44216;653261;4469420;653261;4469420;-11142;402138;-11147;402134;;;;;;653152;4469211;3R02
8097;MONTEMAYOR                         ;;1;90;119;815;1010;1468;70;70;54;8056;2022;567535;4286768;567535;4286768;-21323;384335;-21328;384331;;;;;;567425;4286560;7A04
8099;ULLDECONA SALIDA EMBALSE           ;;1;97;197;521;435;1358;79;89;44;8220;12093;266750;4506141;773908;4507530;1426;404021;1421;404017;;;;;;773799;4507320;1E01
8103;TORREALTA                          ;;1;3094;6394;612;730;2024;16;16;4;8144;46242;648545;4442258;648545;4442258;-11525;400701;-11530;400656;;;;;;648436;4442049;3A04
8104;LOS SANTOS                         ;;1;241;245;612;750;;32;32;17;8145;46092;645963;4441366;645963;4441366;-11715;400633;-11719;400629;;;;;;645854;4441157;3R01
8105;GENERALISIMO (EMBALSE)             ;INT 1965                                                              ;0;4367;6394;666;450;;16;16;6;8152;46050;663240;4399163;663240;4399163;-10543;394334;-10548;394330;;;;;;663130;4398954;
8106;PARDALA, LA                        ;INT 1965                                                              ;0;155;156;666;527;;13;13;11;8151;46050;661355;4401025;661355;4401025;-10701;394435;-10705;394431;;;;;;661245;4400816;
8107;ALARCON SALIDA EMBALSE             ;;1;2918;21579;691;750;1839;78;86;47;8048;16003;576128;4379647;576128;4379647;-20650;393345;-20654;393341;;;;;;576018;4379439;4E02
8111;VALVERDE DE JUCAR                  ;INT 2000                                                              ;0;74;86;662;820;;38;38;28;8996;16236;568096;4399187;568096;4399187;-21219;394421;-21224;394417;;;;;;567986;4398979;
8112;COFRENTES                          ;;1;4694;4754;745;326;1839;97;107;58;8097;46097;664480;4347800;664480;4347800;-10537;391548;-10542;391544;;;;;;664370;4347592;7A01
8115;ALCOCER DE PLANES                  ;INT 1966                                                              ;0;396;753;821;331;;6;6;4;8029;3007;725455;4296585;725455;4296585;-2416;384719;-2420;384714;;;;;;725345;4296377;
8118;VALVERDE DE JUCAR                  ;INT 2004                                                              ;0;257;393;662;820;1174;38;37;36;8047;16903;568870;4399178;568870;4399178;-21147;394421;-21151;394416;;;;;;568760;4398970;
8119;SICHAR SALIDA EMBALSE              ;;1;2490;4028;640;160;2024;53;53;37;8194;12084;736439;4431523;736439;4431523;-1349;400000;-1354;395956;;;;;;736329;4431314;1E09
8120;CALLES                             ;;1;430;430;666;350;;15;14;2;8155;46079;675354;4398728;675354;4398728;-5716;394311;-5722;394306;;;;;;675244;4398519;6A02
8126;VENTA DE JUAN ROMERO               ;;1;250;21579;588;1170;1839;45;43;25;8036;16078;598106;4453242;598106;4453242;-15050;401323;-15055;401319;;;;;;597997;4453033;5A04   
8128;TIBI (EMBALSE)                     ;INT 1995                                                              ;0;267;487;846;380;1352;30;30;1;8011;3129;713155;4264335;713155;4264335;-3321;383005;-3325;383000;;;;;;713045;4264127;
8129;PICAZO, EL                         ;;1;3248;21579;717;692;1839;53;53;38;8050;16158;578738;4368808;578738;4368808;-20505;392753;-20510;392748;;;;;;578628;4368600;4L01
8130;CONTRERAS SALIDA EMBALSE           ;;1;3390;4754;693;560;1839;36;35;20;8089;46259;628530;4376910;628530;4376910;-13016;393154;-13021;393149;;;;;;628420;4376702;5E01
8132;PUENTE DE CARRASCO, EL             ;INT 2012                                                              ;0;3558;21579;742;656;;44;54;12;8050;2069;584728;4341164;584728;4341164;-20107;391254;-20111;391250;;;;;;584618;4340956;
8134;ARENOS ENTRADA E. (C.E. LOS CANTOS);;1;1396;4028;614;602;;31;31;14;8184;12092;704144;4443552;704144;4443552;-3616;400701;-3622;400657;;;;;;704034;4443343;2E02
8135;MASES, LOS                         ;INT 1976                                                              ;0;243;316;614;860;2020;9;9;4;8177;44010;690566;4443635;690566;4443635;-4550;400715;-4554;400711;;;;;;690456;4443426;
8136;COLMENAR, EL                       ;INT 1968                                                              ;0;2479;4028;640;112;;1;1;0;8194;12084;736873;4431471;736873;4431471;-1331;395958;-1336;395954;;;;;;736763;4431262;
8137;TIRIEZ                             ;;1;217;628;789;810;;52;52;34;8999;2043;564838;4305716;564838;4305716;-21508;385350;-21514;385346;;;;;;564728;4305508;7P16
8138;BALAZOTE                           ;;1;792;2821;790;742;1522;52;52;34;8057;2012;576498;4306504;576498;4306504;-20704;385412;-20709;385408;;;;;;576388;4306296;7P03
8139;VILLORA                            ;;1;1255;4754;664;797;1839;51;51;28;8079;16274;617080;4399850;617080;4399850;-13801;394423;-13806;394419;;;;;;616970;4399642;5R01
8140;HUERCEMES                          ;;1;761;987;664;790;;46;46;31;8080;16150;611155;4397730;611155;4397730;-14211;394318;-14216;394313;;;;;;611045;4397522;4R03
8141;VILLORA                            ;;1;74;103;664;802;;46;46;33;8084;16274;622491;4401285;622491;4401285;-13413;394507;-13418;394503;;;;;;622381;4401077;4R02
8144;ALCALA DEL JUCAR                   ;;1;10785;21579;744;520;;61;70;24;8066;2007;636090;4340000;636090;4340000;-12527;391153;-12531;391148;;;;;;635980;4339792;7R01
8145;ARENOS SALIDA EMBALSE              ;;1;1430;4028;614;490;;36;36;23;8184;12079;709874;4440549;709874;4440549;-3218;400518;-3223;400514;;;;;;709764;4440340;2E02
8147;LORIGUILLA SALIDA EMBALSE          ;;1;4978;6394;694;252;;42;42;27;8156;46112;679775;4392667;679775;4392667;-5416;393951;-5420;393947;;;;;;679665;4392458;6E02
8148;JERICA                             ;;1;327;911;639;410;;15;15;3;8168;12071;709973;4419100;709973;4419100;-3239;395343;-3245;395338;;;;;;709863;4418891;0E01
8149;GEA DE ALBARRACIN                  ;;1;736;6394;566;993;;14;13;1;8134;44117;645187;4473105;645187;4473105;-11722;402343;-11726;402339;;;;;;645078;4472896;3A05
8151;CALLOSA DE ENSARRIA                ;;1;30;31;848;120;;46;45;28;8994;3048;752547;4283275;752547;4283275;-551;383941;-555;383937;;;;;;752437;4283067;8L01
8153;AZUD DE LA MARQUESA                ;;1;21561;21579;747;9;;9;8;0;8126;46105;736164;4340228;736164;4340228;-1558;391043;-1602;391039;;;;;;736054;4340019;
8154;AZUD DE LA MARQUESA (CANAL)        ;;1;21561;21579;747;9;;8;8;0;8126;46105;736275;4340090;736275;4340090;-1554;391038;-1558;391034;;;;;;736165;4339881;
8904;MONTANEJOS                         ;INT 1930                                                              ;0;66;58;614;502;;19;19;0;8187;12079;710640;4436825;710640;4436825;-3150;400317;-3155;400313;;;;;;710530;4436616;
8912;ALGAR                              ;INT 1912                                                              ;0;797;911;668;137;;1;1;0;8168;46028;726505;4405770;726505;4405770;-2120;394616;-2125;394612;;;;;;726395;4405561;
8978;SELLA                              ;INT 1944                                                              ;0;53;1246;847;355;;23;33;1;8016;3124;737951;4276906;737951;4276906;-1602;383630;-1607;383626;;;;;;737841;4276698;
