indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
1010;PUENTE QUEROL                      ;INT 1959                                                              ;0;833;7983;158;490;869;37;42;1;1414;24115;697457;4713006;204757;4716471;-63543;423236;-63548;423232;DATOS MODIFICADOS 1913-14,15-17,21-22,23-24,28-29,30-31,42-46,48-49,50-52,54-56,57-59(ANUARIO13-14) ;;;;;204647;4716265;
1011;RUAPETIN                           ;INT 1931                                                              ;0;6346;7983;190;282;869;20;30;0;1436;32072;654381;4694840;160467;4701383;-70728;422323;-70733;422319;DATOS MODIFICADOS 1912-13 (ANUARIO 13-14)                                                           ;;;;;160356;4701177;
1012;VILLAFRANCA DEL BIERZO             ;INT 1931                                                              ;0;208;522;158;520;869;18;25;0;1426;24209;679754;4720066;187587;4724773;-64831;423641;-64836;423637;;;;;;187476;4724567;
1018;PUENTE QUIROGA                     ;INT 1952                                                              ;0;6346;7983;189;219;2188;29;37;1;1454;27052;640535;4703358;147241;4710869;-71726;422809;-71731;422804;DATOS MODIFICADOS 1915-16, DE 1917-18 A 1920-21, 1927-28 Y DE 1943-44 A 1949-50 (ANUARIO 13-14)     ;;;;;147130;4710663;
1019;PACIOS DE VEIGA                    ;INT 1952                                                              ;0;50;734;156;405;;9;9;1;1463;27047;631398;4718573;139194;4726714;-72353;423627;-72359;423623;DATOS MODIFICADOS DE 1944-45 A 1950-51 (ANUARIO 13-14)                                              ;;;;;139083;4726508;
1603;REGUNTILLE                         ;;1;95;138;48;453;;14;13;0;1375;27010;632252;4781377;144529;4789383;-72223;431022;-72228;431018;LOS DATOS DE 2007-08 Y 2009-10 SON PROVISIONALES PENDIENTES DE REVISION                             ;;;;;144418;4789178;A002
1605;PONTEVILAR                         ;;1;754;17026;47;398;;14;13;0;1378;27010;618164;4780706;130409;4789723;-73247;431009;-73252;431005;LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;130298;4789518;A003
1607;CELA (MARGEN DERECHA)              ;;1;999;17026;72;382;;47;47;20;1382;27039;613609;4777438;125624;4786785;-73611;430825;-73616;430821;DATOS MODIFICADOS 2002-03 (ANUARIO 13-14)                                                           ;;;;;125513;4786579;A004D
1608;CELA (MARGEN IZQUIERDA)            ;;1;999;17026;72;382;;47;47;20;1382;27007;613944;4777395;125956;4786718;-73556;430824;-73602;430820;;;;;;125845;4786512;A004I
1609;RABADE                             ;INT 1974                                                              ;0;999;17026;72;382;1029;50;60;0;1382;27007;612725;4774697;124544;4784111;-73652;430657;-73657;430653;                                                                                                    ;;;;;124433;4783905;A004
1617;GUITIRIZ                           ;;1;301;331;47;406;758;49;49;16;1386;27022;598167;4780846;110441;4791298;-74732;431024;-74738;431019;LOS DATOS DE 2008-09 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;110329;4791092;A007
1619;BEGONTE                            ;;1;843;887;72;395;905;51;51;26;1387;27007;606634;4778362;118722;4788209;-74119;430859;-74124;430855;DATOS DE 2008-09 PROVISIONALES PENDIENTES DE REVISION. DATOS MODIFICADOS 1999-00 (ANUARIO 13-14)    ;;;;;118611;4788003;A008
1620;GONDAY                             ;;1;192;206;72;386;;14;13;0;1389;27039;610318;4769335;121755;4778926;-73842;430405;-73848;430400;LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;121644;4778720;A009
1621;LUGO                               ;INT 2009                                                              ;0;2303;17026;72;362;1029;83;94;1;1390;27028;617210;4762241;128133;4771346;-73343;430011;-73348;430007;;;;;;128022;4771140;
