indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih
7001,FUENSANTA (DESEMBALSE),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,1218,14936,866,530.0,2058.0,98,107,16,7018,2086,569173,4249782,569160,4250280,-21228,382334,-21233,382330,LOS DATOS DE 2013-14 SON PROVISIONALES PENDIENTES DE REVISION                                       ,569049,4250073,04A03A1
7002,ESTRECHO DEL AIRE,INT 1949                                                              ,0,319,596,888,900.0,,27,36,6,7021,2055,564276,4228248,564300,4228250,-21557,381157,-21602,381153,,564188,4228043,
7003,TALAVE (DESEMBALSE),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,754,2395,843,475.0,1797.0,96,105,12,7031,2037,599694,4262768,600055,4262470,-15124,383025,-15128,383021,,599945,4262263,03R02A1
7004,AZARAQUE,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,1116,2395,868,350.0,1797.0,55,62,10,7031,2037,617351,4251942,617090,4251905,-13922,382426,-13926,382422,                                                                                                    ,616980,4251698,03A04A1
7005,TALUVIA,INT 1968                                                              ,0,638,2395,842,520.0,,37,47,23,7031,2044,592956,4263531,592956,4263531,-15602,383053,-15606,383049,,592845,4263324,
7006,ALMADENES,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,7111,14936,890,210.0,2081.0,91,101,36,7040,30019,626257,4233485,626400,4233400,-13326,381423,-13331,381419,DATOS DE 2013-14 SON PROVISIONALES PENDIENTES DE REVISION                                           ,626289,4233192,02A01A1
7007,ALFONSO XIII (DESEMBALSE),INT 2015                                                              ,0,834,835,890,270.0,1949.0,56,63,11,7039,30013,622775,4232000,622790,4232000,-13550,381337,-13555,381333,LOS DATOS DE 2012-13 SON PROVISIONALES PENDIENTES DE REVISION                                       ,622679,4231792,02E03E1
7008,TOVARICO,INT 1949                                                              ,0,178,596,909,1030.0,,10,20,5,7019,2055,562309,4223821,562360,4223820,-21720,380934,-21724,380930,,562248,4223613,
7009,MINAS,INT 1957                                                              ,0,5134,14936,890,315.0,,33,43,15,7034,30028,616390,4241449,616390,4241449,-14007,381847,-14012,381842,,616279,4241242,
7010,ROGATIVA,INT 1949                                                              ,0,77,107,888,990.0,,10,21,3,7020,30028,567952,4225624,567952,4225624,-21327,381031,-21331,381027,,567840,4225417,
7011,"ESPERANZA, LA",INT 1947                                                              ,0,322,337,890,285.0,,24,35,4,7035,30028,611839,4235625,611840,4235625,-14318,381540,-14322,381536,,611729,4235418,
7012,CALASPARRA,INT 2006                                                              ,0,5713,14936,890,258.0,2081.0,53,62,13,7036,30013,614520,4234043,614500,4234000,-14129,381447,-14133,381443,                                                                                                    ,614389,4233793,
7013,CENAJO (DESEMBALSE),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,2593,14936,868,350.0,2081.0,76,87,12,7026,30028,607600,4247497,607600,4247600,-14606,382207,-14610,382203,LOS DATOS DE 2012-13 SON PROVISIONALES PENDIENTES DE REVISION                                       ,607489,4247393,04A02A1
7014,ARGOS (CALASPARRA),,1,506,518,890,260.0,,28,39,5,7037,30013,615327,4233499,615350,4233500,-14056,381429,-14100,381425,,615239,4233293,02A05A1
7015,YESTE,INT 1947                                                              ,0,698,14936,888,614.0,,6,17,3,7016,2086,558583,4241523,558620,4241520,-21947,381909,-21952,381905,,558509,4241313,
7016,CIEZA,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,8026,14936,891,165.0,2081.0,97,108,41,7044,30019,637424,4233573,637456,4233556,-12547,381420,-12551,381416,LOS DATOS DE 2015-16 SON PROVISIONALES PENDIENTES DE REVISION                                       ,637345,4233348,02R01A1
7017,ABARAN,INT 2005                                                              ,0,8514,14936,891,146.0,2081.0,61,71,18,7046,30002,641342,4229501,641300,4229500,-12309,381206,-12313,381202,                                                                                                    ,641189,4229292,
7018,ARCHENA,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,8754,14936,912,87.0,2081.0,97,107,33,7048,30009,648851,4221643,648774,4221692,-11806,380747,-11810,380743,LOS DATOS DE 2012-13 SON PROVISIONALES PENDIENTES DE REVISION                                       ,648663,4221484,02R02A1
7019,"CIERVA, LA (DESEMBALSE)",INT 1995                                                              ,0,156,647,912,315.0,1406.0,70,79,4,7049,30029,632850,4213780,632800,4213740,-12908,380341,-12913,380337,,632689,4213532,01E01A1
7020,BAÑOS DE MULA,INT 1943                                                              ,0,647,647,912,205.0,,20,28,1,7053,30029,638254,4211617,638337,4211609,-12528,380228,-12532,380224,,638226,4211401,
7021,MURCIA,INT 1951                                                              ,0,9833,14936,934,42.0,,30,40,9,7054,30030,665241,4205690,665240,4205550,-10707,375859,-10711,375855,,665129,4205342,
7022,VALDEINFIERNO (DESEMBALSE),INT 1971                                                              ,0,441,899,952,640.0,1339.0,22,31,6,7059,30024,591251,4184901,591251,4184901,-15748,374823,-15753,374818,,591140,4184693,05E02E1
7023,PARETON DE TOTANA (HACIA EL RIO),INT 2008                                                              ,0,2563,3390,954,205.0,,30,40,6,7064,30039,635958,4176521,635958,4176521,-12726,374331,-12731,374326,,635847,4176313,01O06A1
7024,CAMARILLAS (CAÑON TOTAL),INT 1960                                                              ,0,2390,2395,868,315.0,1797.0,35,45,12,7033,2037,617902,4244276,617890,4244200,-13903,382018,-13908,382013,,617779,4243993,
7025,PASO DE LOS CARROS (REGUERON),INT 1944                                                              ,0,3223,3390,933,70.0,,20,16,2,7066,30030,656529,4200340,656470,4200340,-11308,375611,-11312,375607,,656359,4200132,
7028,ORIHUELA,INT 1993                                                              ,0,13603,14936,913,21.0,2081.0,65,75,10,7069,3099,679374,4217611,679760,4217600,-5717,380516,-5721,380512,,679649,4217392,
7029,ROJALES,INT 2011. OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)    ,0,14894,14936,914,12.0,1800.0,77,87,37,7071,3113,699923,4218370,699923,4218370,-4313,380525,-4318,380521,                                                                                                    ,699812,4218162,07A04A1
7030,GUARDAMAR (PRESA DE S. ANTONIO),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,14925,14936,914,10.0,2081.0,87,96,24,7071,3076,705172,4218885,705172,4218885,-3937,380538,-3942,380534,,705061,4218677,07R01A1
7031,MOLINO DE OSORIO,INT 1931                                                              ,0,835,899,952,475.0,,2,9,0,7061,30024,598710,4181158,598740,4181190,-15245,374618,-15249,374614,,598629,4180982,
7032,VELEZ,INT 1948                                                              ,0,626,631,952,472.0,,7,17,6,7057,30024,600452,4176534,600452,4176534,-15136,374348,-15140,374344,,600341,4176326,
7033,PUENTES(DESEMBALSE A RIO Y ACEQUIA),INT 1948                                                              ,0,1389,3390,953,410.0,2043.0,10,20,0,7062,30024,604099,4177372,604099,4177372,-14907,374414,-14911,374409,,603988,4177164,05E03A1/X1
7035,ESTRECHO DE ARGAMASA,INT 1963                                                              ,0,176,298,866,608.0,,23,33,17,7017,2086,560348,4251827,560360,4251830,-21832,382443,-21836,382439,,560249,4251623,
7036,GILICO,INT 1948                                                              ,0,734,835,890,315.0,,9,19,6,7039,30013,618563,4226514,618590,4226500,-13847,381041,-13851,381037,,618479,4226292,
7037,CAÑAVEROSA,INT 1986                                                              ,0,5705,14936,890,270.0,2081.0,29,39,16,7036,30013,613080,4236347,613080,4236310,-14227,381603,-14231,381558,,612969,4236103,
7038,ALCAIDE,INT 1931                                                              ,0,384,899,952,720.0,1339.0,1,10,0,7059,4098,587765,4186876,587765,4186876,-20010,374928,-20014,374924,,587653,4186668,
7039,RAMBLA DEL MORO,INT 1931                                                              ,0,271,312,891,325.0,,1,2,0,7998,30002,648391,4242397,648391,4242416,-11809,381900,-11814,381856,,648280,4242208,
7040,LIBRILLA,INT 1992                                                              ,0,52,54,933,170.0,1532.0,51,52,25,7065,30023,644083,4193961,644120,4193980,-12142,375252,-12146,375248,,644009,4193772,EA-040
7041,TAIBILLA (ARROYO TERCERO),INT 1949                                                              ,0,28,982,888,995.0,1428.0,9,19,6,7999,2055,567640,4225800,568020,4225780,-21340,381037,-21344,381033,,567908,4225573,
7042,RAMBLA DE PEREA (MULA),INT 1971                                                              ,0,44,55,912,405.0,,30,40,21,7052,30029,631591,4215901,631590,4215900,-12959,380450,-13003,380446,,631479,4215692,
7043,MINATEDA,INT 1992                                                              ,0,1160,1160,868,356.0,1355.0,51,58,18,7032,2037,618979,4251392,618980,4251390,-13815,382408,-13819,382404,,618870,4251183,03M01A1
7044,"PILAR, LA",INT 1947                                                              ,0,410,518,911,425.0,,6,16,5,7037,30017,609543,4223313,609576,4223313,-14459,380901,-14504,380857,,609465,4223106,
7045,SANTOMERA (AGUAS ABAJO EMBALSE),INT 1971                                                              ,0,135,172,913,68.0,1261.0,12,17,5,7068,30901,667810,4218347,667810,4218360,-10510,380548,-10515,380544,,667699,4218152,
7046,"VIDA, LA",INT 1917                                                              ,0,596,14936,867,500.0,,5,5,0,7018,2086,573429,4250170,573533,4249967,-20933,382346,-20937,382342,,573422,4249760,
7047,CEHEGIN,INT 1928                                                              ,0,518,518,911,550.0,,14,13,0,7037,30017,608261,4221318,602550,4218040,-14553,380757,-14557,380753,,602439,4217833,
7048,ALHAMA,INT 1928                                                              ,0,2774,3390,954,190.0,,15,15,0,7064,30008,642908,4186524,642500,4185320,-12235,374851,-12240,374847,,642389,4185112,
7049,MINAS,INT 1931                                                              ,0,2668,14936,868,315.0,,11,12,0,7026,2037,614518,4244713,614518,4244713,-14123,382033,-14127,382029,,614407,4244506,
7050,LIETOR,INT 2009                                                              ,0,577,2395,842,538.0,1797.0,27,27,8,7031,2044,590374,4266695,590375,4266695,-15747,383236,-15751,383232,                                                                                                    ,590264,4266488,
7051,MORATALLA,INT 1928                                                              ,0,238,337,890,470.0,1699.0,6,6,0,7035,30028,600964,4229896,600965,4229960,-15048,381238,-15053,381234,,600854,4229753,
7052,LUZ DEL QUIPAR,INT 1920                                                              ,0,464,835,910,710.0,,6,6,0,7039,30015,597647,4210493,597650,4210470,-15314,380210,-15319,380206,,597539,4210262,
7053,SALIDA DE LOS ALMADENES,INT 1919                                                              ,0,7230,14936,890,210.0,,6,6,0,7038,30019,632011,4233305,626500,4233500,-12930,381415,-12934,381410,,626389,4233292,
7055,TAIBILLA (LLANO DE LA VIDA),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,596,596,867,629.0,,22,20,0,7021,2042,573523,4249943,573523,4249943,-20929,382339,-20934,382334,LOS DATOS DE 2016-17 SON PROVISIONALES PENDIENTES DE REVISION                                       ,573412,4249736,04A01A1
7057,"GALLEGO, EL",OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,2185,14936,867,450.0,2081.0,53,53,16,7024,2030,586298,4251842,586298,4251842,-20042,382436,-20046,382432,                                                                                                    ,586187,4251635,04A04A1
7062,OJOS,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,8557,14936,912,118.0,2081.0,34,34,4,7046,30031,645597,4223875,645597,4223875,-12018,380901,-12023,380857,,645486,4223667,02A02A1
7063,CONTRAPARADA,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,9600,14936,912,60.0,2081.0,53,53,10,7054,30027,656894,4208581,656894,4208581,-11246,380039,-11251,380034,LOS DATOS DE 2013-14 Y 2015-16 SON PROVISIONALES PENDIENTES DE REVISION                             ,656783,4208373,01A01A1
7064,BENIEL,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,13478,14936,913,30.0,,51,50,14,7069,30010,675051,4213241,675051,4213241,-10018,380258,-10022,380253,LOS DATOS DE 2011-12 SON PROVISIONALES PENDIENTES DE REVISION                                       ,674940,4213033,07A01A1
7067,"MENJU, EL",INT 1986                                                              ,0,8045,14936,891,150.0,2081.0,17,17,12,7044,30019,639092,4231536,639100,4231450,-12440,381313,-12444,381309,,638989,4231242,
7070,DESAGÜE DE LA PEDRERA,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,0,64,65,913,21.0,,19,19,1,7990,3080,686528,4215771,686528,4215771,-5225,380411,-5230,380407,LOS DATOS DE 2008-09 Y 2011-12 SON PROVISIONALES PENDIENTES DE REVISION                             ,686417,4215563,07C09C1
7102,TAIBILLA (APORTACIONES AL AZUD),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,0,376,596,888,810.0,2081.0,43,42,1,7021,2055,563640,4231841,563640,4231841,-21622,381354,-21627,381350,LOS DATOS DE 2013-14 SON PROVISIONALES PENDIENTES DE REVISION                                       ,563528,4231634,
7112,CALASPARRA (NUEVA),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,5687,14936,890,268.0,,18,18,2,7036,30013,613774,4234619,613774,4234619,-14159,381506,-14204,381502,,613663,4234412,03A03A1
7117,BLANCA,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,8486,14936,891,154.0,,14,14,0,7046,30011,642176,4227131,642176,4227131,-12236,381049,-12241,381045,,642065,4226923,02A04A1
7121,RINCON DE BENISCORNIA,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,9741,14936,934,45.0,,16,15,0,7054,30027,661141,4205936,661141,4205936,-10954,375910,-10959,375906,LOS DATOS DE 2011-12 Y 2013-14 SON PROVISIONALES PENDIENTES DE REVISION                             ,661030,4205728,01A02A1
7124,CAMARILLAS (DESEMBALSE),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,2430,2395,890,311.0,,16,16,2,7033,2037,617005,4242511,617005,4242511,-13942,381921,-13946,381916,LOS DATOS DE 2013-14 SON PROVISIONALES PENDIENTES DE REVISION                                       ,616894,4242304,03R04A1
7125,REGUERON,INT 1973                                                              ,0,3230,3390,933,60.0,,24,24,14,7066,30030,658304,4200821,658300,4200840,-11155,375626,-11159,375622,,658189,4200632,01O05A1
7128,ORIHUELA (PASARELA SALESAS),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,0,13651,14936,913,27.0,,8,7,0,7069,3099,679901,4217352,679901,4217352,-5656,380508,-5700,380503,LOS DATOS DE 2008-09 SON PROVISIONALES PENDIENTES DE REVISION                                       ,679790,4217144,
7129,ROJALES (NUEVA),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,14331,14936,914,9.0,,14,14,0,7071,3113,700655,4218628,700655,4218628,-4243,380533,-4247,380529,,700544,4218420,07R06A1
