ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
3006;ENTREPEÑAS;1;;19245;562;521277;4482675;521277;4482675;-24456;402938;-24501;402934;0;718;3029;63;67;521168;4482467;
3007;BOLARQUE;1;;19022;562;515505;4468180;515505;4468180;-24903;402148;-24907;402144;586;642;3057;63;66;515396;4467972;
3008;ZORITA;1;;19335;561;508838;4466420;508838;4466420;-25345;402051;-25350;402047;0;600;3057;54;54;508729;4466212;
3009;ALMOGUERA;1;;19021;584;503615;4458403;503615;4458403;-25727;401631;-25732;401627;0;585;3059;54;54;503505;4458195;
3013;PORTIÑA, LA;1;;45165;627;342920;4429200;342920;4429200;-45024;395952;-45029;395947;0;411;3989;50;51;342810;4428993;
3016;TORREJON-TAJO;1;;10190;651;244485;4413740;244485;4413740;-55909;395004;-55914;395000;243.5;243.5;3261;53;53;244376;4413534;
3019;ALCANTARA;1;;10008;648;681429;4400202;167194;4405273;-65259;394354;-65304;394350;0;218;3371;51;52;167086;4405067;
3043;BUENDIA;1;;16041;562;518455;4472242;518455;4472242;-24657;402360;-24702;402355;712;712;3054;63;67;518346;4472034;
3050;VADO, EL;1;;19307;459;474815;4539398;474815;4539398;-31758;410017;-31803;410013;0;923.5;3070;63;72;474706;4539190;
3065;PALMACES;1;;19208;460;505150;4544575;505150;4544575;-25619;410306;-25624;410302;885;885;3094;63;73;505041;4544367;
3066;ATANCE, EL;1;;19257;461;518120;4547372;518120;4547372;-24703;410439;-24708;410432;909.7;907;3088;14;15;518011;4547164;
3068;BELEÑA;1;;19092;485;483623;4531652;483623;4531652;-31140;405606;-31145;405602;845;843.5;3102;35;35;483514;4531444;
3069;SANTILLANA;1;;28082;509;430950;4506735;430950;4506735;-34903;404229;-34907;404224;0;894;3119;63;76;430841;4506528;
3073;FINISTERRE;1;DATOS 2013-14 PROVISIONALES PENDIENTES DE REVISION                                                                      ;45166;686;444226;4389398;444226;4389398;-33900;393907;-33905;393903;0;685.4;3158;27;28;444116;4389190;
3074;CASTRO, EL;1;DATOS 2013-14 PROVISIONALES PENDIENTES DE REVISION                                                                      ;45191;658;435684;4406707;435684;4406707;-34505;394826;-34510;394822;561;552;3158;27;28;435574;4406499;
3079;TAJERA, LA;1;;19260;487;532360;4521175;532360;4521175;-23658;405025;-23703;405021;962.1;959.5;3131;27;28;532251;4520967;
3111;BURGUILLO, EL;1;;5241;556;369985;4476245;369985;4476245;-43157;402534;-43202;402529;0;729.1;3210;63;81;369875;4476038;
3112;SAN JUAN;1;;28133;557;388730;4470175;388730;4470175;-41838;402227;-41843;402222;0;580;3220;63;66;388620;4469968;
3113;PICADAS;1;;28133;580;393995;4465710;393995;4465710;-41452;402004;-41457;401960;0;518.5;3220;54;54;393885;4465503;
3114;CHARCO DEL CURA (PUENTE NUEVO);1;;5241;557;372630;4475950;372630;4475950;-43005;402525;-43010;402521;0;647.5;3210;54;54;372520;4475743;
3115;CAZALEGAS;1;;45045;602;354490;4430810;354490;4430810;-44218;400051;-44223;400047;385.4;384.1;3238;63;63;354380;4430603;
3116;MORALES;1;;28128;580;370970;4464013;370970;4464013;-43107;401858;-43112;401853;802.9;802;3988;28;29;370860;4463806;
3127;ROSARITO;1;;45125;600;302063;4442756;302063;4442756;-51921;400640;-51926;400636;0;307.3;3280;63;63;301954;4442549;
3128;TORREJON-TIETAR;1;;10182;623;244150;4414150;244150;4414150;-55924;395017;-55929;395013;223;222;3296;53;53;244041;4413944;
3141;GUIJO DE GRANADILLA;1;;10090;575;743440;4451906;232578;4452717;-60827;401054;-60832;401049;0;329;3346;32;32;232469;4452511;
3142;GABRIEL Y GALAN;1;;10090;575;744075;4456476;233520;4457234;-60754;401321;-60759;401317;0;386;3346;63;65;233411;4457028;
3143;VALDEOBISPO;1;;10202;597;734479;4442601;223007;4444036;-61458;400601;-61503;400557;0;308;3350;55;55;222898;4443830;
3145;JERTE-PLASENCIA;1;;10148;598;752432;4438857;240670;4439090;-60226;400341;-60230;400337;0;367;3353;34;34;240561;4438884;
3148;BORBOLLON;1;DATO RESERVA MODIFICADO 01/09/1959 (ANUARIO 13-14)                                                                      ;10171;596;706560;4444661;195279;4447976;-63433;400734;-63438;400730;0;313.5;3363;63;64;195170;4447770;
3151;CASTREJON;1;;45136;656;389280;4410270;389280;4410270;-41738;395004;-41743;395000;0;425;3183;54;54;389170;4410063;
3152;VALDECAÑAS;1;;10026;652;276430;4406580;276430;4406580;-53638;394645;-53643;394641;315;315;3259;56;57;276321;4406374;
3154;RIOSEQUILLO;1;;28027;484;445558;4537473;445558;4537473;-33850;405909;-33855;405905;1010;1005;3071;63;63;445449;4537266;
3155;PUENTES VIEJAS;1;;28902;484;452060;4538375;452060;4538375;-33412;405940;-33417;405936;0;950.5;3073;63;63;451951;4538167;
3156;ATAZAR, EL;1;;28016;485;460235;4529316;460235;4529316;-32820;405448;-32825;405444;0;870;3075;50;50;460126;4529108;
3157;VELLON, EL;1;;28108;509;447380;4512110;447380;4512110;-33724;404527;-33729;404523;0;828;3077;53;54;447271;4511903;
3160;RIVERA DE GATA;1;;10215;596;701779;4445551;190565;4449188;-63754;400807;-63759;400803;349.5;339.5;3366;31;32;190457;4448982;
3166;TORCON;1;DATOS 2013-14 PROVISIONALES PENDIENTES DE REVISION                                                                      ;45109;684;381203;4387291;381203;4387291;-42303;393735;-42308;393731;0;700;3190;61;62;381093;4387084;
3181;VALMAYOR;1;;28160;533;411397;4487932;411397;4487932;-40246;403212;-40251;403208;831;828;3167;39;39;411288;4487725;
3189;NAVACERRADA;1;;28093;508;415195;4507800;415195;4507800;-40014;404258;-40019;404254;1156;1156;3118;51;51;415086;4507593;
3190;JAROSA, LA;1;;28068;533;405640;4502380;405640;4502380;-40659;403958;-40704;403954;1087;1087;3993;51;51;405531;4502173;
3191;NAVALMEDIO;1;;28038;508;412340;4511640;412340;4511640;-40218;404501;-40223;404457;0;1289;3994;51;51;412231;4511433;
3195;VILLAR, EL;1;;28902;484;452726;4533285;452726;4533285;-33342;405655;-33347;405651;0;903.5;3073;63;63;452617;4533077;
3196;PINILLA;1;;28076;484;434955;4533137;434955;4533137;-34622;405646;-34627;405642;1090;1088.8;3071;54;54;434846;4532930;
3199;NAVALCAN;1;;45110;601;317364;4435509;317364;4435509;-50827;400258;-50832;400253;0;370;3275;39;39;317254;4435302;
3201;MOLINO DE CHINCHA;1;DATOS 2015-16 PROVISIONALES PENDIENTES DE REVISION                                                                      ;16057;539;569715;4489562;569715;4489562;-21036;403311;-21041;403307;0;939.3;3032;60;73;569606;4489353;
3203;AZUTAN;1;;45017;654;321215;4405405;321215;4405405;-50515;394645;-50520;394641;0;354;3249;50;50;321105;4405198;
3208;SALOR;1;;10037;704;732325;4360794;215381;4362533;-61812;392153;-61817;392149;0;395.9;3380;43;43;215272;4362327;
3227;ACEÑA;1;;5184;532;396780;4496675;396780;4496675;-41313;403650;-41317;403645;1317.5;1316.1;3214;29;30;396671;4496468;
