indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih
3001,PERALEJOS DE LAS TRUCHAS,,1,410,71364,539,1143,1920.0,76,76,44,3003,19216,590482,4494462,590482,4494462,-15551,403543,-15555,403539,,590373,4494253,
3002,"PAULAR, EL",,1,42,983,483,1270,2430.0,55,54,37,3071,28120,425430,4522276,425430,4522276,-35305,405051,-35309,405047,,425321,4522069,
3005,TRILLO,,1,3253,71364,512,720,1920.0,79,88,53,3023,19291,535097,4505319,535097,4505319,-23505,404150,-23509,404146,DATOS MODIFICADOS DE 04/1999 Y 10/1999 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                      ,534988,4505111,
3051,ALGETE,,1,2448,11597,534,585,2430.0,79,88,33,3080,28009,452170,4493275,452170,4493275,-33355,403517,-33300,403513,DATOS MODIFICADOS DE 12/1913 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ,452061,4493067,
3161,ARENAS DE SAN PEDRO,,1,730,4507,601,367,2188.0,53,53,31,3268,45130,325878,4446776,325878,4446776,-50239,400909,-50244,400905,,325768,4446569,
3163,PIEDRAS ALBAS,,1,887,1294,648,172,,49,48,25,3378,10008,672712,4409381,159104,4415026,-65856,394858,-65901,394854,,158996,4414820,
3182,GARCIBUEY,,1,426,5385,527,520,1433.0,52,52,25,3330,37298,250434,4487864,250434,4487864,-55642,403012,-55647,403006,DATOS MODIFICADOS DE 08/1979 Y 03/1986 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                      ,250325,4487657,
3185,SANTIBAÑEZ EL BAJO,,1,47,157,574,426,1010.0,49,49,28,3351,10167,728307,4455664,217730,4457490,-61901,401311,-61906,401306,DATOS MODIFICADOS DE 08/1987 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ,217621,4457284,
3200,SOTOSERRANO,,1,239,239,552,405,2425.0,53,53,32,3335,37313,753424,4479366,244400,4479440,-60046,402532,-60051,402528,,244291,4479233,
3217,HORCAJO DE MONTEMAYOR,,1,177,211,552,717,1524.0,50,50,24,3331,37161,254621,4479296,254621,4479296,-55333,402539,-55338,402534,,254512,4479089,
3218,MIRANDA DEL CASTAÑAR,,1,101,125,552,509,1723.0,49,49,20,3333,37193,753837,4486128,245271,4486158,-60019,402911,-60024,402907,,245162,4485951,
3220,SANTA MARTA DE MAGASCA,,1,457,1030,679,270,998.0,50,50,19,3313,10037,748101,4376532,232173,4377190,-60653,393007,-60658,393003,,232064,4376984,
3221,BOHONAL DE IBOR,,1,266,279,652,319,1601.0,49,48,24,3258,10030,284303,4405651,284303,4405651,-53106,394622,-53111,394618,,284194,4405445,
3222,PERALEDA DE SAN ROMAN,,1,184,200,653,330,1429.0,48,48,30,3256,10141,292843,4404203,292843,4404203,-52506,394543,-52511,394538,,292733,4403997,
3224,GARGÜERA,,1,97,196,598,380,1358.0,48,48,29,3293,10081,251264,4433055,251264,4433055,-55451,400037,-55456,400033,DATOS MODIFICADOS DE 04/1981 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ,251155,4432849,
3226,CANDELEDA,,1,62,73,600,420,2437.0,48,48,28,3279,5047,308818,4447624,308818,4447624,-51441,400924,-51446,400919,                                                                                                    ,308709,4447417,
3231,NAVALUENGA,,1,698,4104,556,753,2198.0,47,47,20,3208,5163,355485,4474600,355485,4474600,-44211,402432,-44216,402427,,355375,4474393,
3234,JARAIZ DE LA VERA,,1,224,265,599,260,,47,47,20,3291,10104,268465,4432150,268465,4432150,-54245,400026,-54250,400021,                                                                                                    ,268356,4431944,
3235,NUÑOMORAL,,1,109,140,551,411,,47,47,22,3339,10135,738671,4474341,229338,4475427,-61118,402305,-61123,402301,,229229,4475220,
3236,"LADRILLAR, EL",,1,73,108,552,430,,47,47,16,3337,10108,742441,4478905,233410,4479726,-60832,402529,-60837,402525,DATOS MODIFICADOS DE 08/2009 Y 05/2011 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                      ,233301,4479519,
3240,BEJAR,,1,100,239,553,803,,41,41,23,3335,37046,263366,4474624,263366,4474624,-54716,402317,-54721,402312,,263257,4474417,
3244,CAMPILLO DE DELEITOSA,,1,120,204,652,305,,44,44,23,3260,10042,278620,4400508,278620,4400508,-53458,394330,-53503,394326,,278511,4400302,
3245,HERNAN-PEREZ,,1,52,100,574,386,,45,45,25,3362,10093,717815,4455029,207215,4457566,-62625,401300,-62630,401256,,207106,4457360,
3260,VILLANUEVA DE LA VERA,,1,54,64,600,355,,42,42,20,3283,10212,295565,4446010,295565,4446010,-52359,400820,-52404,400816,                                                                                                    ,295456,4445804,
