indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
3001;PERALEJOS DE LAS TRUCHAS           ;;1;410;71364;539;1143;1920;76;76;44;3003;19216;590482;4494462;590482;4494462;-15551;403543;-15555;403539;;;;;;590373;4494253;
3002;PAULAR, EL                         ;;1;42;983;483;1270;2430;55;54;37;3071;28120;425430;4522276;425430;4522276;-35305;405051;-35309;405047;;;;;;425321;4522069;
3003;LORANCA DE TAJUÑA                  ;;1;1545;2601;561;666;1367;55;55;41;3139;19160;492001;4478545;492001;4478545;-30540;402725;-30544;402720;;;;;;491892;4478337;
3004;PUENTE TABOADA                     ;;1;349;983;484;1030;;10;9;0;3071;28063;439418;4532765;439418;4532765;-34311;405635;-34316;405631;;;;;;439309;4532558;
3005;TRILLO                             ;;1;3253;71364;512;720;1920;79;88;53;3023;19291;535097;4505319;535097;4505319;-23505;404150;-23509;404146;DATOS MODIFICADOS DE 04/1999 Y 10/1999 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                      ;;;;;534988;4505111;
3006;ENTREPEÑAS                         ;INT 1980                                                              ;0;3829;71364;562;644;1920;45;53;8;3029;19245;521090;4482560;521090;4482560;-24504;402934;-24508;402930;;;;;;520981;4482352;
3007;BOLARQUE                           ;INT 1980                                                              ;0;7402;71364;562;620;1920;65;75;2;3057;19022;515515;4468205;515515;4468205;-24902;402149;-24907;402145;;;;;;515406;4467997;
3008;ZORITA                             ;INT 1980                                                              ;0;7452;71364;561;590;1920;23;23;0;3057;19335;508820;4466625;508820;4466625;-25346;402058;-25350;402054;;;;;;508711;4466417;
3009;ALMOGUERA                          ;INT 1980                                                              ;0;7750;71364;584;574;1920;23;23;0;3059;19021;506680;4460670;506680;4460670;-25517;401745;-25521;401741;;;;;;506571;4460462;
3010;AÑOVER                             ;SIN DATOS                                                             ;0;21086;71364;630;591;;0;3;0;3149;45014;434755;4426845;434755;4426845;-34551;395919;-34555;395915;;;;;;434645;4426637;
3011;ARANJUEZ                           ;INT 1985                                                              ;0;9340;71364;605;490;1920;50;50;14;3067;28013;449595;4432930;449595;4432930;-33527;400240;-33531;400236;;;;;;449485;4432722;
