date,storage,outflow,type
1976-10-01,0.92,0.41,1
1976-10-02,0.91,0.39,1
1976-10-03,0.9,0.41,1
1976-10-04,0.89,0.41,1
1976-10-05,0.89,0.42,1
1976-10-06,0.88,0.41,1
1976-10-07,0.87,0.43,1
1976-10-08,0.86,0.44,1
1976-10-09,0.85,0.42,1
1976-10-10,0.84,0.44,1
1976-10-11,0.86,0.44,1
1976-10-12,0.89,0.38,1
1976-10-13,0.91,0.21,1
1976-10-14,0.93,0.21,1
1976-10-15,0.95,0.21,1
1976-10-16,0.98,0.21,1
1976-10-17,1.0,0.21,1
1976-10-18,1.02,0.21,1
1976-10-19,1.02,0.21,1
1976-10-20,1.06,0.21,1
1976-10-21,1.08,0.21,1
1976-10-22,1.1,0.21,1
1976-10-23,1.12,0.21,1
1976-10-24,1.15,0.21,1
1976-10-25,1.19,0.22,1
1976-10-26,1.22,0.21,1
1976-10-27,1.28,0.21,1
1976-10-28,1.32,0.21,1
1976-10-29,1.36,0.21,1
1976-10-30,1.39,0.21,1
1976-10-31,1.42,0.21,1
1976-11-01,1.45,0.21,1
1976-11-02,1.48,0.21,1
1976-11-03,1.51,0.21,1
1976-11-04,1.54,0.22,1
1976-11-05,1.56,0.22,1
1976-11-06,1.58,0.21,1
1976-11-07,1.61,0.21,1
1976-11-08,1.63,0.21,1
1976-11-09,1.66,0.21,1
1976-11-10,1.68,0.21,1
1976-11-11,1.72,0.21,1
1976-11-12,1.75,0.21,1
1976-11-13,2.0,0.21,1
1976-11-14,2.08,0.21,1
1976-11-15,2.14,0.0,1
1976-11-16,2.2,0.0,1
1976-11-17,2.24,0.0,1
1976-11-18,2.29,0.0,1
1976-11-19,2.33,0.0,1
1976-11-20,2.37,0.0,1
1976-11-21,2.4,0.0,1
1976-11-22,2.44,0.0,1
1976-11-23,2.47,0.0,1
1976-11-24,2.5,0.0,1
1976-11-25,2.53,0.0,1
1976-11-26,2.55,0.0,1
1976-11-27,2.58,0.0,1
1976-11-28,2.61,0.0,1
1976-11-29,2.64,0.0,1
1976-11-30,2.66,0.0,1
1976-12-01,2.69,0.0,1
1976-12-02,2.73,0.0,1
1976-12-03,2.85,0.0,1
1976-12-04,3.46,0.0,1
1976-12-05,3.73,0.0,1
1976-12-06,4.63,0.0,1
1976-12-07,5.34,0.0,1
1976-12-08,5.75,0.0,1
1976-12-09,6.04,0.0,1
1976-12-10,6.26,0.0,1
1976-12-11,6.45,0.0,1
1976-12-12,6.61,0.0,1
1976-12-13,6.75,0.0,1
1976-12-14,6.89,0.0,1
1976-12-15,7.0,0.0,1
1976-12-16,7.11,0.0,1
1976-12-17,7.22,0.0,1
1976-12-18,7.32,0.0,1
1976-12-19,7.32,0.0,1
1976-12-20,7.32,0.0,1
1976-12-21,7.67,0.0,1
1976-12-22,7.78,0.0,1
1976-12-23,7.89,0.0,1
1976-12-24,7.99,0.0,1
1976-12-25,8.11,0.0,1
1976-12-26,8.21,0.0,1
1976-12-27,8.32,0.0,1
1976-12-28,8.41,0.0,1
1976-12-29,8.53,0.0,1
1976-12-30,8.7,0.0,1
1976-12-31,8.92,0.0,1
1977-01-01,9.29,0.0,1
1977-01-02,9.69,0.0,1
1977-01-03,9.98,0.0,1
1977-01-04,10.22,0.0,1
1977-01-05,10.43,0.0,1
1977-01-06,10.48,1.69,1
1977-01-07,10.5,2.07,1
1977-01-08,10.55,1.68,1
1977-01-09,10.59,1.91,1
1977-01-10,10.59,2.22,1
1977-01-11,10.61,2.14,1
1977-01-12,10.62,2.14,1
1977-01-13,10.63,2.25,1
1977-01-14,10.63,2.25,1
1977-01-15,10.63,2.25,1
1977-01-16,10.63,2.25,1
1977-01-17,10.63,2.25,1
1977-01-18,10.65,2.25,1
1977-01-19,10.65,2.25,1
1977-01-20,10.65,2.25,1
1977-01-21,10.66,2.25,1
1977-01-22,10.69,2.25,1
1977-01-23,10.73,2.25,1
1977-01-24,10.86,2.25,1
1977-01-25,10.94,2.25,1
1977-01-26,10.95,3.3,1
1977-01-27,10.95,3.3,1
1977-01-28,10.95,3.3,1
1977-01-29,10.97,4.0,1
1977-01-30,10.97,4.0,1
1977-01-31,10.92,3.65,1
1977-02-01,10.92,3.3,1
1977-02-02,10.92,2.85,1
1977-02-03,10.93,2.2,1
1977-02-04,11.07,1.5,1
1977-02-05,11.14,3.0,1
1977-02-06,11.16,3.0,1
1977-02-07,11.16,3.0,1
1977-02-08,11.09,3.46,1
1977-02-09,11.16,1.5,1
1977-02-10,11.33,1.5,1
1977-02-11,11.44,1.5,1
1977-02-12,11.47,3.1,1
1977-02-13,11.51,2.6,1
1977-02-14,11.57,2.6,1
1977-02-15,11.6,3.19,1
1977-02-16,11.6,3.33,1
1977-02-17,11.6,3.33,1
1977-02-18,11.6,2.5,1
1977-02-19,11.6,2.5,1
1977-02-20,11.64,2.5,1
1977-02-21,11.75,3.3,1
1977-02-22,11.77,5.27,1
1977-02-23,11.77,5.53,1
1977-02-24,11.66,5.53,1
1977-02-25,11.6,4.48,1
1977-02-26,11.57,3.97,1
1977-02-27,11.57,3.36,1
1977-02-28,11.58,3.03,1
1977-03-01,11.59,2.95,1
1977-03-02,11.59,2.95,1
1977-03-03,11.59,2.95,1
1977-03-04,11.61,1.92,1
1977-03-05,11.67,1.54,1
1977-03-06,11.75,1.15,1
1977-03-07,11.83,1.12,1
1977-03-08,11.92,0.73,1
1977-03-09,12.02,0.71,1
1977-03-10,12.1,0.71,1
1977-03-11,12.19,0.71,1
1977-03-12,12.29,0.71,1
1977-03-13,12.29,2.53,1
1977-03-14,12.29,2.27,1
1977-03-15,12.29,1.03,1
1977-03-16,12.34,1.03,1
1977-03-17,12.37,1.3,1
1977-03-18,12.37,1.59,1
1977-03-19,12.39,1.72,1
1977-03-20,12.39,1.63,1
1977-03-21,12.39,1.6,1
1977-03-22,12.39,1.6,1
1977-03-23,12.39,1.6,1
1977-03-24,12.39,1.6,1
1977-03-25,12.36,1.97,1
1977-03-26,12.36,1.48,1
1977-03-27,12.33,1.4,1
1977-03-28,12.33,1.25,1
1977-03-29,12.34,1.24,1
1977-03-30,12.35,1.24,1
1977-03-31,12.36,1.24,1
1977-04-01,12.36,1.24,1
1977-04-02,12.36,1.24,1
1977-04-03,12.36,1.24,1
1977-04-04,12.36,1.24,1
1977-04-05,12.36,1.24,1
1977-04-06,12.36,1.24,1
1977-04-07,12.39,0.5,1
1977-04-08,12.43,0.5,1
1977-04-09,12.46,0.5,1
1977-04-10,12.5,0.5,1
1977-04-11,12.54,0.5,1
1977-04-12,12.58,0.5,1
1977-04-13,12.61,0.5,1
1977-04-14,12.66,0.2,1
1977-04-15,12.7,0.2,1
1977-04-16,12.72,0.5,1
1977-04-17,12.72,0.5,1
1977-04-18,12.74,0.5,1
1977-04-19,12.76,0.5,1
1977-04-20,12.79,0.5,1
