date,storage,type
2012-03-22,11.06,2
2012-03-23,11.06,2
2012-03-24,11.06,2
2012-03-25,11.06,2
2012-03-26,11.06,2
2012-03-27,11.06,2
2012-03-28,11.18,2
2012-03-29,11.18,2
2012-03-30,11.18,2
2012-03-31,11.18,2
2012-04-01,11.18,2
2012-04-02,11.18,2
2012-04-03,11.18,2
2012-04-04,11.18,2
2012-04-05,11.18,2
2012-04-06,11.18,2
2012-04-07,11.19,2
2012-04-08,11.18,2
2012-04-09,11.18,2
2012-04-10,11.18,2
2012-04-11,11.18,2
2012-04-12,11.18,2
2012-04-13,11.18,2
2012-04-14,11.17,2
2012-04-15,11.17,2
2012-04-16,11.16,2
2012-04-17,11.15,2
2012-04-18,11.15,2
2012-04-19,11.15,2
2012-04-20,11.15,2
2012-04-21,11.15,2
2012-04-22,11.15,2
2012-04-23,11.13,2
2012-04-24,11.13,2
2012-04-25,11.13,2
2012-04-26,11.13,2
2012-04-27,11.13,2
2012-04-28,11.13,2
2012-04-29,11.13,2
2012-04-30,11.15,2
2012-05-01,11.17,2
2012-05-02,11.17,2
2012-05-03,11.17,2
2012-05-04,11.17,2
2012-05-05,11.18,2
2012-05-06,11.18,2
2012-05-07,11.18,2
2012-05-08,11.18,2
2012-05-09,11.2,2
2012-05-10,11.2,2
2012-05-11,11.18,2
2012-05-12,11.18,2
2012-05-13,11.18,2
2012-05-14,11.17,2
2012-05-15,11.15,2
2012-05-16,11.1,2
2012-05-17,11.07,2
2012-05-18,11.05,2
2012-05-19,11.02,2
2012-05-20,11.0,2
2012-05-21,10.99,2
2012-05-22,10.97,2
2012-05-23,10.95,2
2012-05-24,10.91,2
2012-05-25,10.89,2
2012-05-26,10.87,2
2012-05-27,10.83,2
2012-05-28,10.8,2
2012-05-29,10.79,2
2012-05-30,10.74,2
2012-05-31,10.7,2
2012-06-01,10.55,2
2012-06-02,10.49,2
2012-06-03,10.33,2
2012-06-04,10.19,2
2012-06-05,10.15,2
2012-06-06,10.13,2
2012-06-07,10.1,2
2012-06-08,10.09,2
2012-06-09,10.05,2
2012-06-10,10.02,2
2012-06-11,10.01,2
2012-06-12,9.98,2
2012-06-13,9.94,2
2012-06-14,9.93,2
2012-06-15,9.9,2
2012-06-16,9.87,2
2012-06-17,9.84,2
2012-06-18,9.82,2
2012-06-19,9.81,2
2012-06-20,9.79,2
2012-06-21,9.77,2
2012-06-22,9.74,2
2012-06-23,9.71,2
2012-06-24,9.44,2
2012-06-25,9.16,2
2012-06-26,9.09,2
2012-06-27,9.02,2
2012-06-28,8.95,2
2012-06-29,8.89,2
2012-06-30,8.83,2
2012-07-01,8.54,2
2012-07-02,8.3,2
2012-07-03,8.23,2
2012-07-04,8.17,2
2012-07-05,8.1,2
2012-07-06,8.03,2
2012-07-07,7.97,2
2012-07-08,7.7,2
2012-07-09,7.44,2
2012-07-10,7.37,2
2012-07-11,7.17,2
2012-07-12,7.12,2
2012-07-13,7.05,2
2012-07-14,6.98,2
2012-07-15,6.73,2
2012-07-16,6.47,2
2012-07-17,6.41,2
2012-07-18,6.34,2
2012-07-19,6.29,2
2012-07-20,6.21,2
2012-07-21,6.16,2
2012-07-22,5.89,2
2012-07-23,5.65,2
2012-07-24,5.59,2
2012-07-25,5.53,2
2012-07-26,5.47,2
2012-07-27,5.41,2
2012-07-28,5.35,2
2012-07-29,5.22,2
2012-07-30,5.09,2
2012-07-31,5.03,2
2012-08-01,4.97,2
2012-08-02,4.85,2
2012-08-03,4.71,2
2012-08-04,4.59,2
2012-08-05,4.48,2
2012-08-06,4.37,2
2012-08-07,4.26,2
2012-08-08,4.15,2
2012-08-09,4.03,2
2012-08-10,3.95,2
2012-08-11,3.88,2
2012-08-12,3.83,2
2012-08-13,3.78,2
2012-08-14,3.74,2
2012-08-15,3.66,2
2012-08-16,3.58,2
2012-08-17,3.5,2
2012-08-18,3.39,2
2012-08-19,3.28,2
2012-08-20,3.18,2
2012-08-21,3.07,2
2012-08-22,2.9,2
2012-08-23,2.72,2
2012-08-24,2.57,2
2012-08-25,2.42,2
2012-08-26,2.27,2
2012-08-27,2.13,2
2012-08-28,1.94,2
2012-08-29,1.77,2
2012-08-30,1.62,2
2012-08-31,1.53,2
2012-09-01,1.42,2
2012-09-02,1.31,2
2012-09-03,1.2,2
2012-09-04,1.14,2
2012-09-05,1.08,2
2012-09-06,1.02,2
2012-09-07,0.96,2
2012-09-08,0.93,2
2012-09-09,0.87,2
2012-09-10,0.81,2
2012-09-11,0.75,2
2012-09-12,0.69,2
2012-09-13,0.63,2
2012-09-14,0.57,2
2012-09-15,0.51,2
2012-09-16,0.45,2
2012-09-17,0.39,2
2012-09-18,0.33,2
2012-09-19,0.27,2
2012-09-20,0.21,2
2012-09-21,0.15,2
2012-09-22,0.06,2
2012-09-23,0.05,2
2012-09-24,0.05,2
2012-09-25,0.05,2
2012-09-26,0.05,2
2012-09-27,0.05,2
2012-09-28,0.05,2
2012-09-29,0.05,2
2012-09-30,0.05,2
2012-10-01,0.05,2
2012-10-02,0.05,2
2012-10-03,0.05,2
2012-10-04,0.05,2
2012-10-05,0.05,2
2012-10-06,0.05,2
2012-10-07,0.05,2
2012-10-08,0.05,2
2012-10-09,0.05,2
2012-10-10,0.05,2
2012-10-11,0.05,2
2012-10-12,0.05,2
2012-10-13,0.05,2
2012-10-14,0.05,2
2012-10-15,0.05,2
2012-10-16,0.05,2
2012-10-17,0.05,2
2012-10-18,0.05,2
2012-10-19,0.05,2
2012-10-20,0.05,2
2012-10-21,0.19,2
2012-10-22,0.25,2
2012-10-23,0.16,2
2012-10-24,0.05,2
2012-10-25,0.05,2
2012-10-26,0.05,2
2012-10-27,0.05,2
2012-10-28,0.05,2
2012-10-29,0.05,2
2012-10-30,0.05,2
2012-10-31,0.05,2
2012-11-01,0.05,2
2012-11-02,0.05,2
2012-11-03,0.05,2
2012-11-04,0.05,2
2012-11-05,0.05,2
2012-11-06,0.05,2
2012-11-07,0.05,2
2012-11-08,0.05,2
2012-11-09,0.05,2
2012-11-10,0.05,2
2012-11-11,0.05,2
2012-11-12,0.05,2
2012-11-13,0.05,2
2012-11-14,0.05,2
2012-11-15,0.05,2
2012-11-16,0.05,2
2012-11-17,0.05,2
2012-11-18,0.05,2
2012-11-19,0.05,2
2012-11-20,0.05,2
2012-11-21,0.05,2
2012-11-22,0.05,2
2012-11-23,0.05,2
2012-11-24,0.05,2
2012-11-25,0.05,2
2012-11-26,0.05,2
2012-11-27,0.05,2
2012-11-28,0.05,2
2012-11-29,0.06,2
2012-11-30,0.22,2
2012-12-01,0.53,2
2012-12-02,0.84,2
2012-12-03,1.17,2
2012-12-04,1.51,2
2012-12-05,1.83,2
2012-12-06,2.15,2
2012-12-07,2.44,2
2012-12-08,2.73,2
2012-12-09,3.03,2
2012-12-10,3.32,2
2012-12-11,3.61,2
2012-12-12,3.89,2
2012-12-13,4.17,2
2012-12-14,4.47,2
2012-12-15,4.94,2
2012-12-16,5.4,2
2012-12-17,5.79,2
2012-12-18,6.17,2
2012-12-19,6.49,2
2012-12-20,6.79,2
2012-12-21,7.09,2
2012-12-22,7.5,2
2012-12-23,7.97,2
2012-12-24,8.46,2
2012-12-25,8.93,2
2012-12-26,9.41,2
2012-12-27,9.85,2
2012-12-28,10.21,2
2012-12-29,10.6,2
2012-12-30,11.02,2
2012-12-31,11.44,2
2013-01-01,11.88,2
2013-01-02,12.32,2
2013-01-03,12.76,2
2013-01-04,13.21,2
2013-01-05,13.66,2
2013-01-06,14.1,2
2013-01-07,14.58,2
2013-01-08,15.08,2
2013-01-09,15.55,2
2013-01-10,16.05,2
2013-01-11,16.5,2
2013-01-12,16.95,2
2013-01-13,17.44,2
2013-01-14,17.9,2
2013-01-15,18.37,2
2013-01-16,18.86,2
2013-01-17,19.35,2
2013-01-18,19.84,2
2013-01-19,19.98,2
2013-01-20,20.0,2
2013-01-21,20.0,2
2013-01-22,19.98,2
2013-01-23,20.0,2
2013-01-24,20.02,2
2013-01-25,20.0,2
2013-01-26,19.97,2
2013-01-27,19.87,2
2013-01-28,19.79,2
2013-01-29,19.75,2
2013-01-30,19.75,2
2013-01-31,19.75,2
2013-02-01,20.08,2
2013-02-02,20.62,2
2013-02-03,21.16,2
2013-02-04,21.65,2
2013-02-05,22.16,2
2013-02-06,22.66,2
2013-02-07,23.14,2
2013-02-08,23.53,2
2013-02-09,23.89,2
2013-02-10,24.25,2
2013-02-11,24.64,2
2013-02-12,25.02,2
2013-02-13,25.39,2
2013-02-14,25.75,2
2013-02-15,26.14,2
2013-02-16,26.53,2
2013-02-17,26.61,2
2013-02-18,26.53,2
2013-02-19,26.46,2
2013-02-20,26.42,2
2013-02-21,26.42,2
2013-02-22,26.33,2
2013-02-23,26.31,2
2013-02-24,26.14,2
2013-02-25,26.12,2
2013-02-26,26.06,2
2013-02-27,25.95,2
2013-02-28,25.9,2
2013-03-01,25.88,2
2013-03-02,25.86,2
2013-03-03,25.71,2
2013-03-04,25.69,2
2013-03-05,25.75,2
2013-03-06,25.75,2
2013-03-07,25.95,2
2013-03-08,26.27,2
2013-03-09,26.55,2
2013-03-10,26.82,2
2013-03-11,27.09,2
2013-03-12,27.47,2
2013-03-13,27.85,2
2013-03-14,28.3,2
2013-03-15,28.71,2
2013-03-16,28.98,2
2013-03-17,29.25,2
2013-03-18,29.55,2
2013-03-19,29.87,2
2013-03-20,30.32,2
2013-03-21,30.78,2
2013-03-22,31.24,2
2013-03-23,31.73,2
2013-03-24,32.19,2
2013-03-25,32.62,2
2013-03-26,32.99,2
2013-03-27,33.26,2
2013-03-28,33.55,2
2013-03-29,33.83,2
2013-03-30,34.16,2
2013-03-31,34.43,2
2013-04-01,34.68,2
2013-04-02,34.89,2
2013-04-03,35.1,2
2013-04-04,35.31,2
2013-04-05,35.5,2
2013-04-06,35.62,2
2013-04-07,35.73,2
2013-04-08,35.85,2
2013-04-09,35.98,2
2013-04-10,36.0,2
2013-04-11,36.15,2
2013-04-12,36.27,2
2013-04-13,36.36,2
2013-04-14,36.38,2
2013-04-15,36.42,2
2013-04-16,36.42,2
2013-04-17,36.44,2
2013-04-18,36.48,2
2013-04-19,36.48,2
2013-04-20,36.46,2
2013-04-21,36.46,2
2013-04-22,36.46,2
2013-04-23,36.46,2
2013-04-24,36.46,2
2013-04-25,36.48,2
2013-04-26,36.53,2
2013-04-27,36.53,2
2013-04-28,36.57,2
2013-04-29,36.61,2
2013-04-30,36.72,2
2013-05-01,36.76,2
2013-05-02,36.82,2
2013-05-03,36.91,2
2013-05-04,36.95,2
2013-05-05,36.97,2
2013-05-06,37.01,2
2013-05-07,37.03,2
2013-05-08,37.01,2
2013-05-09,37.03,2
2013-05-10,37.1,2
2013-05-11,37.12,2
2013-05-12,37.16,2
2013-05-13,37.16,2
2013-05-14,37.16,2
2013-05-15,37.31,2
2013-05-16,37.33,2
2013-05-17,37.33,2
2013-05-18,37.35,2
2013-05-19,37.39,2
2013-05-20,37.39,2
2013-05-21,37.39,2
2013-05-22,37.35,2
2013-05-23,37.33,2
2013-05-24,37.27,2
2013-05-25,37.27,2
2013-05-26,37.2,2
2013-05-27,37.16,2
2013-05-28,37.27,2
2013-05-29,37.25,2
2013-05-30,37.27,2
2013-05-31,37.25,2
2013-06-01,37.2,2
2013-06-02,37.18,2
2013-06-03,37.16,2
2013-06-04,37.22,2
2013-06-05,37.27,2
2013-06-06,37.27,2
2013-06-07,37.25,2
2013-06-08,37.42,2
2013-06-09,37.61,2
2013-06-10,37.65,2
2013-06-11,37.61,2
