indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih,demarcacion
1033,PUENTE DE SAMA                     ,INT 1916                                                              ,0,557,4866,53,208.0,,4,4,0,1152,33031,282343,4797727,282343,4797727,-54060,431800,-54105,431756,,282234,4797522,,CANTABRICO
1034,PUENTE DE LAS SEGADAS              ,INT 1941                                                              ,0,663,4866,52,129.0,,20,31,0,1152,33057,267803,4799127,267803,4799127,-55146,431830,-55152,431826,,267694,4798922,,CANTABRICO
1036,PUENTE DE SOVILLA                  ,INT 1916                                                              ,0,374,375,53,285.0,,5,5,0,1160,33037,273561,4786755,273561,4786755,-54713,431156,-54718,431152,,273452,4786550,,CANTABRICO
1038,SOVILLA-VIA NORTE                  ,INT 1916                                                              ,0,313,923,53,285.0,,3,3,0,1155,33037,273365,4786649,273365,4786649,-54721,431152,-54727,431148,,273256,4786444,,CANTABRICO
1040,FORNO                              ,INT 1920                                                              ,0,1657,4866,28,80.0,,8,8,0,1166,33044,259737,4804035,259737,4804035,-55752,432060,-55757,432056,,259628,4803830,,CANTABRICO
1041,TRUBIA                             ,INT 1919                                                              ,0,474,484,52,113.0,,7,7,0,1169,33044,257580,4800946,257580,4800946,-55923,431917,-55928,431913,,257471,4800741,,CANTABRICO
1042,TRUBIA                             ,INT 1919                                                              ,0,2530,4866,28,60.0,,8,8,0,1174,33054,259058,4808240,259058,4808240,-55829,432315,-55834,432311,,258949,4808035,,CANTABRICO
1043,SAN PEDRO DE NORA                  ,INT 1952                                                              ,0,372,382,28,78.0,,27,35,0,1173,33044,260217,4806335,260217,4806335,-55734,432215,-55739,432211,,260108,4806130,,CANTABRICO
1047,PUENTE DE SAN ROMAN                ,INT 1918                                                              ,0,2846,4866,28,78.0,,7,7,0,1176,33044,735983,4815108,250489,4815596,-60501,432703,-60506,432659,,250380,4815391,,CANTABRICO
1050,PUENTE DE LA FLORIDA               ,INT 1934                                                              ,0,1011,1850,51,220.0,,17,21,0,1189,33073,709291,4797121,222567,4799570,-62512,431749,-62517,431745,,222457,4799365,,CANTABRICO
1054,PUENTE DE FORCINAS                 ,INT 1931                                                              ,0,4761,4866,28,16.0,,19,19,0,1194,33051,734378,4818029,249099,4818625,-60608,432840,-60613,432835,,248989,4818421,,CANTABRICO
1080,ANDOAIN                            ,,1,765,861,64,38.0,1544.0,65,65,29,1028,20009,579176,4786841,579176,4786841,-20130,431346,-20135,431342,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",579070,4786632,A149,CANTABRICO
1100,LEGASA                             ,,1,280,705,90,120.0,,9,9,0,1004,31054,610263,4776416,610263,4776416,-13840,430754,-13844,430750,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",610157,4776207,A138,CANTABRICO
1103,ALZOLA                             ,INT 2003                                                              ,0,456,531,63,44.0,1544.0,35,35,23,1042,20032,548747,4786678,548747,4786678,-22359,431350,-22404,431346,,548642,4786470,A800,CANTABRICO
1105,EREÑOZU                            ,,1,215,266,64,28.0,1139.0,52,52,36,1018,20040,586038,4788616,586038,4788616,-15625,431441,-15630,431437,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",585932,4788406,A900,CANTABRICO
1106,ENDARLAZA                          ,,1,681,705,65,18.0,1418.0,50,50,28,1012,20045,603146,4794568,603146,4794568,-14343,431746,-14347,431742,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",603040,4794358,A140,CANTABRICO
1107,OYARZUN                            ,INT 2007                                                              ,0,38,74,64,27.0,840.0,38,38,31,1014,20063,591257,4794779,591257,4794779,-15230,431758,-15235,431754,,591151,4794569,A801,CANTABRICO
1109,ECHABE                             ,INT 2007                                                              ,0,304,343,63,19.0,1423.0,34,34,23,1034,20003,562244,4790950,562244,4790950,-21359,431605,-21404,431601,,562139,4790741,A802,CANTABRICO
1122,ARTICUZA                           ,INT 1963                                                              ,0,36,63,65,268.0,,2,2,0,1017,31117,596236,4785819,596236,4785819,-14855,431306,-14900,431302,,596130,4785609,,CANTABRICO
1141,BERRIATUA                          ,INT 2007                                                              ,0,93,104,63,54.0,1026.0,38,38,0,1044,48018,543500,4795662,543500,4795662,-22749,431842,-22754,431838,                                                                                                    ,543394,4795454,A850,CANTABRICO
1158,ECHEVARRI                          ,INT 1990                                                              ,0,997,1764,61,18.0,,13,13,3,1068,48029,508667,4788567,508667,4788567,-25336,431457,-25341,431453,,508561,4788359,,CANTABRICO
1163,LEMONA (IBAIZABAL)                 ,,1,251,472,62,69.0,1157.0,51,51,8,1065,48055,520014,4784559,520014,4784559,-24513,431246,-24518,431242,,519908,4784351,A145,CANTABRICO
1164,LEMONA (ARRATIA)                   ,,1,136,137,62,64.0,1362.0,43,43,12,1066,48055,518673,4783388,518674,4783387,-24612,431208,-24617,431204,,518568,4783179,A851,CANTABRICO
1166,"PEÑA, LA                           ",,1,997,1764,61,17.0,,5,5,0,1068,48011,506652,4787937,506652,4787937,-25506,431436,-25510,431432,,506546,4787729,Q116,CANTABRICO
1175,SODUPE                             ,INT 2010                                                              ,0,255,256,61,74.0,1178.0,41,41,0,1072,48045,496385,4783365,496385,4783365,-30240,431208,-30245,431204,,496279,4783157,A852,CANTABRICO
1178,ALONSOTEGUI                        ,,1,562,583,61,21.0,,8,8,0,1073,48912,500568,4788010,500568,4788010,-25935,431439,-25940,431435,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",500462,4787802,Q117,CANTABRICO
1186,GURIEZO                            ,,1,112,146,36,17.0,1003.0,51,51,0,1076,39030,473403,4800447,473403,4800447,-31941,432120,-31947,432116,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",473297,4800239,A700,CANTABRICO
1196,COTERILLO                          ,,1,485,512,60,16.0,1640.0,52,52,30,1084,39002,464745,4797767,464745,4797767,-32605,431952,-32610,431948,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",464639,4797560,A701,CANTABRICO
1201,RAMALES                            ,,1,343,512,60,64.0,,4,4,0,1082,39057,462648,4790421,462648,4790421,-32737,431554,-32742,431550,,462542,4790214,A141,CANTABRICO
1202,PONDRA                             ,,1,119,124,60,66.0,,4,4,0,1083,39057,465685,4790621,465685,4790621,-32522,431601,-32527,431557,,465579,4790414,A143,CANTABRICO
1204,CAMPIAZO DE BERANGA                ,,1,40,80,35,34.0,,9,9,0,1920,39031,453184,4807111,453184,4807111,-33442,432453,-33447,432449,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",453078,4806904,N045,CANTABRICO
1205,ENTRAMBASAGUAS                     ,,1,49,50,35,50.0,,9,9,0,1919,39028,444383,4803675,444383,4803675,-34112,432259,-34117,432255,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",444277,4803469,N044,CANTABRICO
1206,PUENTE AGÜERO                      ,,1,210,291,35,11.0,,6,6,0,1086,39028,441915,4806326,441915,4806326,-34302,432424,-34307,432420,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",441809,4806120,Q118,CANTABRICO
1207,"CAVADA, LA                         ",,1,146,291,35,52.0,1707.0,51,51,0,1086,39064,442815,4800428,442815,4800428,-34220,432114,-34225,432110,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",442709,4800222,A090,CANTABRICO
1208,LIERGANES                          ,,1,118,291,35,78.0,,3,3,0,1086,39037,440147,4799796,440147,4799796,-34418,432052,-34423,432048,,440041,4799590,A091,CANTABRICO
