basin,train,validation,test
1105,0.905,,
1106,0.944,,
1109,0.899,,
1295,0.848,,
1343,0.728,,
1363,0.809,,
1369,0.852,,
1378,0.909,,
1395,0.817,,
1414,0.843,,
1427,0.874,,
1431,0.853,,
1441,0.868,,
1443,0.877,,
1485,0.908,,
1520,0.918,,
1522,0.921,,
1552,0.878,,
1585,0.742,,
1605,0.903,,
1619,0.881,,
1620,0.849,,
1624,0.951,,
1638,0.919,,
1659,0.865,,
1715,0.878,,
1721,0.892,,
1723,0.964,,
1725,0.945,,
1726,0.945,,
1728,0.934,,
1729,0.859,,
1734,0.879,,
1753,0.937,,
1823,0.750,,
1824,0.900,,
1829,0.886,,
2005,0.944,,
2012,0.842,,
2016,0.883,,
2025,0.841,,
2028,0.860,,
2029,0.823,,
2031,0.905,,
2036,0.934,,
2041,0.868,,
2046,0.795,,
2047,0.769,,
2050,0.866,,
2055,0.877,,
2056,0.822,,
2057,0.869,,
2074,0.901,,
2081,0.930,,
2082,0.895,,
2089,0.935,,
2098,0.886,,
2101,0.894,,
2104,0.875,,
2113,0.877,,
2114,0.501,,
2115,0.886,,
2116,0.842,,
2121,0.855,,
2125,0.823,,
2126,0.733,,
2131,0.910,,
2132,0.898,,
2139,0.901,,
2141,0.951,,
2143,0.843,,
2147,0.934,,
2711,0.864,,
2712,0.660,,
2713,0.888,,
2717,0.866,,
3001,0.931,,
3012,0.730,,
3030,0.732,,
3040,0.788,,
3045,0.931,,
3100,0.861,,
3161,0.853,,
3163,0.903,,
3165,0.875,,
3169,0.607,,
3175,0.695,,
3180,0.856,,
3186,0.623,,
3193,0.549,,
3198,0.599,,
3200,0.840,,
3213,0.759,,
3217,0.763,,
3218,0.869,,
3220,0.219,,
3221,0.844,,
3222,0.610,,
3234,0.806,,
3235,0.819,,
3242,0.909,,
3244,0.871,,
3246,0.654,,
3253,0.580,,
3268,0.837,,
3276,0.726,,
3279,0.870,,
8018,0.873,,
8028,0.743,,
8060,0.178,,
8087,0.823,,
8091,0.778,,
8104,0.901,,
8118,0.121,,
8120,0.376,,
8134,0.827,,
8149,0.817,,
9003,0.878,,
9020,0.834,,
9021,0.907,,
9030,0.887,,
9033,0.876,,
9040,0.889,,
9041,0.465,,
9061,0.862,,
9063,0.890,,
9064,0.887,,
9069,0.928,,
9073,0.820,,
9074,0.953,,
9075,0.897,,
9087,0.510,,
9089,0.839,,
9093,0.808,,
9095,0.837,,
9120,0.900,,
9139,0.772,,
9159,0.936,,
9165,0.928,,
9166,0.897,,
9170,0.815,,
9177,0.776,,
9184,0.478,,
9187,0.718,,
9188,0.856,,
9189,0.817,,
9197,0.828,,
9215,0.495,,
9252,0.845,,
9256,0.826,,
9261,0.920,,
9263,0.892,,
9265,0.795,,
9271,0.735,,
9279,0.870,,
9284,0.938,,
9291,0.687,,
9321,0.808,,
9323,0.903,,
9324,0.896,,
9327,0.783,,
1265,,0.469,
1268,,0.753,
1365,,0.076,
1512,,0.195,
1540,,0.849,
1544,,0.775,
2000,,0.797,
2015,,0.867,
2017,,0.576,
2030,,0.492,
2048,,0.428,
2095,,0.396,
2138,,0.684,
2150,,0.323,
2163,,0.467,
2714,,0.524,
3005,,0.583,
3014,,0.676,
3049,,0.214,
3051,,-0.903,
3052,,0.230,
3103,,0.548,
3168,,0.061,
3184,,0.405,
3212,,0.424,
3231,,0.607,
3233,,-2.632,
3250,,-0.238,
3251,,-3.223,
3256,,0.300,
3261,,0.622,
3278,,0.040,
8029,,-0.023,
8090,,0.509,
8092,,-2.067,
8126,,0.821,
8140,,-5.313,
9011,,0.882,
9038,,0.689,
9051,,0.385,
9062,,0.703,
9068,,0.884,
9070,,0.697,
9071,,0.664,
9079,,0.788,
9092,,0.817,
9203,,0.575,
9254,,0.298,
9270,,0.358,
9281,,0.537,
9282,,0.676,
9317,,-0.081,
9322,,0.614,
1080,,,0.762
1103,,,0.621
1163,,,0.763
1302,,,0.859
1353,,,0.644
1404,,,0.730
1424,,,0.212
1433,,,0.589
1438,,,0.771
1464,,,0.780
1542,,,0.517
1546,,,0.845
1578,,,0.817
1622,,,0.566
1647,,,0.217
1765,,,0.741
2013,,,0.650
2026,,,0.826
2043,,,0.815
2049,,,0.737
2053,,,0.879
2054,,,0.678
2060,,,0.497
2061,,,0.825
2062,,,0.746
2105,,,0.524
2144,,,0.252
2145,,,0.055
2156,,,0.502
2716,,,0.267
2818,,,0.621
3062,,,0.609
3144,,,0.427
3146,,,0.781
3174,,,0.631
3182,,,0.727
3211,,,0.284
3255,,,-2.290
3269,,,-2.262
8027,,,-0.017
8103,,,0.513
8148,,,-1.050
9002,,,0.893
9004,,,0.516
9023,,,0.670
9044,,,0.190
9067,,,0.778
9088,,,0.386
9158,,,0.709
9255,,,-0.008
9283,,,0.654
9287,,,0.277
9328,,,0.335
