basin,train,validation,test
1105,0.860,,
1106,0.914,,
1109,0.745,,
1295,0.741,,
1343,0.495,,
1363,0.703,,
1369,0.712,,
1378,0.857,,
1395,0.623,,
1414,0.755,,
1427,0.792,,
1431,0.826,,
1441,0.895,,
1443,0.869,,
1485,0.853,,
1520,0.765,,
1522,0.803,,
1546,0.821,,
1552,0.774,,
1585,0.551,,
1605,0.804,,
1619,0.732,,
1620,0.807,,
1624,0.828,,
1638,0.895,,
1659,0.907,,
1715,0.495,,
1721,0.784,,
1723,0.885,,
1725,0.650,,
1726,0.785,,
1728,0.857,,
1729,0.580,,
1734,0.864,,
1753,0.805,,
1823,0.692,,
1824,0.723,,
2000,0.814,,
2005,0.833,,
2015,0.808,,
2017,0.651,,
2025,0.563,,
2028,0.745,,
2031,0.899,,
2036,0.859,,
2041,0.723,,
2046,0.881,,
2047,0.790,,
2049,0.563,,
2053,0.845,,
2056,0.825,,
2057,0.747,,
2060,0.940,,
2062,0.875,,
2081,0.921,,
2082,0.900,,
2089,0.644,,
2098,0.660,,
2101,0.710,,
2104,0.930,,
2105,0.841,,
2114,0.346,,
2115,0.912,,
2116,0.835,,
2121,0.841,,
2125,0.684,,
2126,0.462,,
2131,0.813,,
2132,0.856,,
2139,0.880,,
2141,0.894,,
2143,0.833,,
2144,0.585,,
2711,0.898,,
2712,0.564,,
2713,0.813,,
2716,0.550,,
2818,0.810,,
3012,0.630,,
3030,0.679,,
3040,0.821,,
3045,0.661,,
3062,0.505,,
3103,0.710,,
3144,0.882,,
3163,0.810,,
3165,0.813,,
3169,0.332,,
3174,0.640,,
3180,0.874,,
3186,0.210,,
3193,0.265,,
3198,0.443,,
3200,0.851,,
3213,0.650,,
3217,0.650,,
3218,0.677,,
3220,0.182,,
3221,0.710,,
3222,0.600,,
3235,0.589,,
3242,0.789,,
3244,0.780,,
3246,0.400,,
3250,0.328,,
3261,0.799,,
3279,0.610,,
5045,0.511,,
5056,0.347,,
5083,0.204,,
5123,0.365,,
5138,0.643,,
5141,0.650,,
5145,0.825,,
8029,0.231,,
8060,-0.976,,
8087,0.381,,
8091,0.409,,
8118,-0.043,,
8126,0.870,,
9002,0.908,,
9003,0.796,,
9011,0.851,,
9020,0.831,,
9023,0.875,,
9030,0.721,,
9040,0.801,,
9044,0.848,,
9051,0.732,,
9063,0.702,,
9068,0.762,,
9069,0.922,,
9070,0.792,,
9073,0.773,,
9075,0.880,,
9088,0.790,,
9089,0.682,,
9092,0.880,,
9093,0.683,,
9120,0.909,,
9139,0.767,,
9159,0.899,,
9165,0.686,,
9166,0.730,,
9170,0.800,,
9177,0.709,,
9184,0.397,,
9187,0.608,,
9188,0.795,,
9197,0.818,,
9215,0.559,,
9252,0.801,,
9256,0.874,,
9261,0.831,,
9263,0.817,,
9270,0.819,,
9271,0.646,,
9281,0.854,,
9284,0.756,,
9291,0.361,,
9321,0.655,,
9323,0.833,,
9324,0.903,,
1265,,0.119,
1268,,0.686,
1365,,0.116,
1512,,0.068,
1540,,0.718,
1544,,0.730,
1829,,0.912,
2012,,0.694,
2016,,0.828,
2030,,0.541,
2095,,0.375,
2138,,0.805,
2150,,0.630,
2156,,0.744,
2714,,0.609,
3005,,0.832,
3014,,0.740,
3049,,0.192,
3051,,-2.683,
3052,,0.688,
3168,,0.765,
3182,,0.674,
3211,,-0.157,
3231,,0.824,
3234,,0.727,
3253,,-0.252,
3256,,0.586,
3268,,-1.030,
3276,,0.295,
5050,,-0.232,
5136,,-0.083,
5142,,-0.350,
8018,,-0.939,
8090,,0.344,
8103,,-0.947,
8149,,-0.519,
9021,,0.341,
9038,,0.662,
9041,,0.256,
9062,,0.652,
9064,,0.687,
9067,,0.868,
9071,,0.591,
9079,,0.743,
9158,,0.614,
9189,,0.598,
9203,,0.496,
9265,,-1.057,
9279,,0.429,
9282,,0.593,
9317,,-0.299,
9322,,0.287,
9327,,0.709,
1080,,,0.596
1103,,,0.682
1163,,,0.723
1302,,,0.858
1353,,,0.752
1404,,,0.745
1424,,,0.757
1433,,,0.544
1438,,,0.666
1464,,,0.539
1542,,,0.455
1578,,,0.820
1622,,,0.496
1647,,,0.090
1765,,,0.611
2013,,,0.679
2026,,,0.739
2029,,,0.605
2043,,,0.818
2050,,,0.813
2054,,,0.845
2055,,,0.704
2061,,,0.564
2074,,,0.486
2113,,,0.273
2145,,,0.748
2147,,,0.481
2163,,,0.516
2717,,,0.132
3001,,,0.208
3100,,,0.562
3146,,,0.902
3161,,,0.414
3175,,,0.219
3184,,,0.032
3212,,,0.159
3269,,,-0.855
3278,,,0.467
4255,,,0.067
5107,,,-0.283
8028,,,0.111
8104,,,-0.030
8120,,,-0.002
8134,,,0.066
9004,,,0.537
9033,,,0.589
9061,,,0.701
9074,,,0.693
9095,,,0.283
9254,,,0.600
9283,,,0.377
9287,,,0.326
9328,,,0.565
