basin,train,validation,test
1105,0.529,,
1106,0.514,,
1109,0.506,,
1295,0.186,,
1343,0.359,,
1363,0.393,,
1369,0.487,,
1378,0.733,,
1395,0.497,,
1414,0.788,,
1427,0.727,,
1431,0.634,,
1441,0.509,,
1443,0.506,,
1485,0.654,,
1520,0.540,,
1522,0.660,,
1552,0.797,,
1585,0.358,,
1605,0.849,,
1619,0.500,,
1620,0.612,,
1624,0.815,,
1638,0.873,,
1659,0.802,,
1715,0.356,,
1721,0.649,,
1723,0.789,,
1725,0.586,,
1726,0.761,,
1728,0.746,,
1729,0.524,,
1734,0.718,,
1753,0.744,,
1823,0.371,,
1824,0.809,,
1829,0.836,,
2005,0.477,,
2012,0.304,,
2016,0.182,,
2025,0.146,,
2028,0.432,,
2029,0.356,,
2031,0.481,,
2036,0.221,,
2041,0.259,,
2046,0.196,,
2047,0.090,,
2050,0.337,,
2055,0.167,,
2056,0.179,,
2057,0.570,,
2074,0.618,,
2081,0.427,,
2082,0.562,,
2089,0.580,,
2098,0.154,,
2101,0.304,,
2104,0.719,,
2113,0.571,,
2114,-0.650,,
2115,0.547,,
2116,0.126,,
2121,0.168,,
2125,-0.143,,
2126,-0.500,,
2131,0.381,,
2132,0.153,,
2139,0.568,,
2141,0.428,,
2143,0.548,,
2147,0.610,,
2711,0.624,,
2712,0.023,,
2713,0.536,,
2717,-0.079,,
3001,0.204,,
3012,0.218,,
3030,0.165,,
3040,-0.006,,
3045,0.673,,
3100,0.155,,
3161,0.361,,
3163,0.213,,
3165,0.210,,
3169,0.230,,
3175,-0.094,,
3180,0.312,,
3186,-0.240,,
3193,-0.232,,
3198,0.062,,
3200,0.699,,
3213,0.586,,
3217,0.158,,
3218,0.553,,
3220,0.078,,
3221,0.635,,
3222,0.620,,
3234,0.498,,
3235,0.459,,
3242,0.599,,
3244,0.475,,
3246,0.143,,
3253,-0.192,,
3268,0.224,,
3276,0.317,,
3279,0.278,,
8018,0.224,,
8028,-0.112,,
8060,-0.614,,
8087,-0.026,,
8091,-0.265,,
8104,-0.175,,
8118,-0.127,,
8120,0.123,,
8134,-0.108,,
8149,0.138,,
9003,0.691,,
9020,-0.146,,
9021,0.479,,
9030,0.163,,
9033,0.306,,
9040,0.450,,
9041,-0.022,,
9061,0.304,,
9063,0.523,,
9064,0.364,,
9069,0.567,,
9073,0.400,,
9074,0.549,,
9075,0.595,,
9087,-0.319,,
9089,0.113,,
9093,0.334,,
9095,0.248,,
9120,0.692,,
9139,0.294,,
9159,0.670,,
9165,0.512,,
9166,0.357,,
9170,0.283,,
9177,0.228,,
9184,-0.086,,
9187,0.691,,
9188,0.320,,
9189,0.608,,
9197,0.467,,
9215,-0.098,,
9252,0.323,,
9256,0.326,,
9261,-0.018,,
9263,0.234,,
9265,0.245,,
9271,0.205,,
9279,0.420,,
9284,0.621,,
9291,0.080,,
9321,0.295,,
9323,0.644,,
9324,0.567,,
9327,0.316,,
1265,,0.686,
1268,,0.508,
1365,,-0.034,
1512,,0.016,
1540,,0.502,
1544,,0.661,
2000,,0.320,
2015,,0.144,
2017,,0.160,
2030,,0.606,
2048,,0.013,
2095,,0.301,
2138,,0.205,
2150,,0.090,
2163,,0.306,
2714,,0.205,
3005,,-0.159,
3014,,0.230,
3049,,-0.036,
3051,,0.129,
3052,,0.045,
3103,,0.005,
3168,,0.657,
3184,,-0.052,
3212,,0.356,
3231,,0.259,
3233,,-3.198,
3250,,-0.504,
3251,,-1.525,
3256,,0.338,
3261,,0.520,
3278,,0.485,
8029,,0.020,
8090,,-0.236,
8092,,0.161,
8126,,0.387,
8140,,-0.533,
9011,,0.296,
9038,,0.590,
9051,,0.133,
9062,,0.310,
9068,,0.389,
9070,,0.593,
9071,,0.616,
9079,,0.397,
9092,,0.504,
9203,,0.126,
9254,,0.530,
9270,,0.517,
9281,,0.377,
9282,,0.348,
9317,,-0.362,
9322,,0.093,
1080,,,0.294
1103,,,0.460
1163,,,0.418
1302,,,0.622
1353,,,0.687
1404,,,0.574
1424,,,0.617
1433,,,0.822
1438,,,0.800
1464,,,0.350
1542,,,0.405
1546,,,0.484
1578,,,0.606
1622,,,0.444
1647,,,0.385
1765,,,0.591
2013,,,0.155
2026,,,0.317
2043,,,0.135
2049,,,0.094
2053,,,0.235
2054,,,0.175
2060,,,0.434
2061,,,0.450
2062,,,0.125
2105,,,0.446
2144,,,0.139
2145,,,0.477
2156,,,0.438
2716,,,-0.014
2818,,,0.615
3062,,,-0.088
3144,,,0.630
3146,,,0.841
3174,,,-0.054
3182,,,0.180
3211,,,0.223
3255,,,-1.093
3269,,,-0.047
8027,,,-0.219
8103,,,0.119
8148,,,0.326
9002,,,0.708
9004,,,0.551
9023,,,0.440
9044,,,-0.078
9067,,,0.278
9088,,,0.067
9158,,,0.316
9255,,,0.046
9283,,,0.358
9287,,,-0.162
9328,,,0.452
