basin,train,validation,test
1105,0.760,,
1106,0.843,,
1109,0.806,,
1295,0.678,,
1343,0.707,,
1363,0.754,,
1369,0.746,,
1378,0.838,,
1395,0.628,,
1414,0.790,,
1427,0.785,,
1431,0.831,,
1441,0.875,,
1443,0.843,,
1485,0.908,,
1520,0.850,,
1522,0.928,,
1552,0.860,,
1585,0.637,,
1605,0.853,,
1619,0.865,,
1620,0.822,,
1624,0.958,,
1638,0.926,,
1659,0.930,,
1715,0.902,,
1721,0.844,,
1723,0.922,,
1725,0.911,,
1726,0.926,,
1728,0.827,,
1729,0.736,,
1734,0.858,,
1753,0.942,,
1823,0.674,,
1824,0.871,,
1829,0.924,,
2005,0.943,,
2012,0.843,,
2016,0.867,,
2025,0.877,,
2028,0.824,,
2029,0.777,,
2031,0.904,,
2036,0.893,,
2041,0.756,,
2046,0.882,,
2047,0.760,,
2050,0.840,,
2055,0.778,,
2056,0.843,,
2057,0.827,,
2074,0.936,,
2081,0.869,,
2082,0.923,,
2089,0.885,,
2098,0.742,,
2101,0.780,,
2104,0.915,,
2113,0.806,,
2114,0.050,,
2115,0.904,,
2116,0.836,,
2121,0.832,,
2125,0.761,,
2126,0.505,,
2131,0.878,,
2132,0.895,,
2139,0.798,,
2141,0.882,,
2143,0.815,,
2147,0.908,,
2711,0.875,,
2712,0.598,,
2713,0.855,,
2717,0.696,,
3001,0.895,,
3012,0.762,,
3030,0.755,,
3040,0.791,,
3045,0.885,,
3100,0.850,,
3161,0.847,,
3163,0.858,,
3165,0.802,,
3169,0.023,,
3175,0.419,,
3180,0.851,,
3186,0.255,,
3193,0.161,,
3198,0.357,,
3200,0.892,,
3213,0.685,,
3217,0.709,,
3218,0.849,,
3220,-0.356,,
3221,0.778,,
3222,0.682,,
3234,0.865,,
3235,0.721,,
3242,0.850,,
3244,0.902,,
3246,0.629,,
3253,0.382,,
3268,0.828,,
3276,0.761,,
3279,0.572,,
8018,0.819,,
8028,0.558,,
8060,-0.075,,
8087,0.702,,
8091,0.706,,
8104,0.814,,
8118,0.215,,
8120,0.379,,
8134,0.644,,
8149,0.752,,
9003,0.835,,
9020,0.775,,
9021,0.811,,
9030,0.579,,
9033,0.804,,
9040,0.884,,
9041,0.282,,
9061,0.746,,
9063,0.803,,
9064,0.802,,
9069,0.927,,
9073,0.792,,
9074,0.773,,
9075,0.890,,
9087,0.046,,
9089,0.683,,
9093,0.879,,
9095,0.734,,
9120,0.791,,
9139,0.701,,
9159,0.865,,
9165,0.900,,
9166,0.874,,
9170,0.728,,
9177,0.634,,
9184,0.280,,
9187,0.631,,
9188,0.822,,
9189,0.802,,
9197,0.753,,
9215,0.435,,
9252,0.890,,
9256,0.802,,
9261,0.834,,
9263,0.805,,
9265,0.766,,
9271,0.709,,
9279,0.804,,
9284,0.840,,
9291,0.632,,
9321,0.661,,
9323,0.834,,
9324,0.865,,
9327,0.826,,
1265,,0.686,
1268,,0.502,
1365,,0.136,
1512,,0.126,
1540,,0.636,
1544,,0.727,
2000,,0.841,
2015,,0.876,
2017,,0.596,
2030,,0.722,
2048,,0.412,
2095,,0.622,
2138,,0.630,
2150,,0.318,
2163,,0.256,
2714,,0.256,
3005,,0.804,
3014,,0.667,
3049,,0.178,
3051,,-0.923,
3052,,0.067,
3103,,0.606,
3168,,-0.359,
3184,,0.540,
3212,,0.357,
3231,,0.729,
3233,,-5.982,
3250,,-1.394,
3251,,-8.056,
3256,,0.224,
3261,,0.559,
3278,,-1.022,
8029,,0.031,
8090,,0.399,
8092,,0.167,
8126,,0.744,
8140,,-2.916,
9011,,0.832,
9038,,0.612,
9051,,0.161,
9062,,0.802,
9068,,0.824,
9070,,0.760,
9071,,0.676,
9079,,0.712,
9092,,0.875,
9203,,0.298,
9254,,0.394,
9270,,-0.020,
9281,,0.789,
9282,,0.762,
9317,,0.173,
9322,,0.370,
1080,,,0.523
1103,,,0.664
1163,,,0.601
1302,,,0.678
1353,,,0.880
1404,,,0.622
1424,,,0.641
1433,,,0.782
1438,,,0.807
1464,,,0.663
1542,,,0.531
1546,,,0.887
1578,,,0.884
1622,,,0.665
1647,,,0.370
1765,,,0.535
2013,,,0.633
2026,,,0.760
2043,,,0.880
2049,,,0.789
2053,,,0.782
2054,,,0.744
2060,,,0.780
2061,,,0.805
2062,,,0.799
2105,,,0.480
2144,,,-0.031
2145,,,0.771
2156,,,0.270
2716,,,-0.321
2818,,,0.615
3062,,,0.596
3144,,,0.499
3146,,,0.645
3174,,,0.692
3182,,,0.694
3211,,,0.331
3255,,,-3.536
3269,,,-2.204
8027,,,0.108
8103,,,0.407
8148,,,-0.538
9002,,,0.856
9004,,,0.446
9023,,,0.816
9044,,,0.540
9067,,,0.683
9088,,,0.381
9158,,,0.612
9255,,,-0.391
9283,,,0.589
9287,,,0.090
9328,,,-0.006
