basin,train,validation,test
1105,0.865,,
1106,0.931,,
1109,0.910,,
1295,0.794,,
1343,0.774,,
1363,0.753,,
1369,0.869,,
1378,0.939,,
1395,0.770,,
1414,0.879,,
1427,0.892,,
1431,0.844,,
1441,0.864,,
1443,0.894,,
1485,0.876,,
1520,0.850,,
1522,0.920,,
1552,0.958,,
1585,0.588,,
1605,0.919,,
1619,0.884,,
1620,0.835,,
1624,0.962,,
1638,0.952,,
1659,0.944,,
1715,0.893,,
1721,0.867,,
1723,0.948,,
1725,0.941,,
1726,0.927,,
1728,0.900,,
1729,0.868,,
1734,0.889,,
1753,0.911,,
1823,0.731,,
1824,0.881,,
1829,0.925,,
2005,0.910,,
2012,0.837,,
2016,0.895,,
2025,0.693,,
2028,0.857,,
2029,0.916,,
2031,0.885,,
2036,0.849,,
2041,0.864,,
2046,0.772,,
2047,0.766,,
2050,0.867,,
2055,0.850,,
2056,0.763,,
2057,0.813,,
2074,0.861,,
2081,0.855,,
2082,0.905,,
2089,0.937,,
2098,0.851,,
2101,0.836,,
2104,0.952,,
2113,0.864,,
2114,0.356,,
2115,0.898,,
2116,0.740,,
2121,0.792,,
2125,0.721,,
2126,0.536,,
2131,0.857,,
2132,0.801,,
2139,0.852,,
2141,0.950,,
2143,0.808,,
2147,0.918,,
2711,0.887,,
2712,0.586,,
2713,0.862,,
2717,0.752,,
3001,0.909,,
3012,0.659,,
3030,0.783,,
3040,0.878,,
3045,0.880,,
3100,0.786,,
3161,0.833,,
3163,0.896,,
3165,0.853,,
3169,0.520,,
3175,0.752,,
3180,0.836,,
3186,0.522,,
3193,0.445,,
3198,0.696,,
3200,0.927,,
3213,0.730,,
3217,0.703,,
3218,0.840,,
3220,0.322,,
3221,0.830,,
3222,0.605,,
3234,0.890,,
3235,0.723,,
3242,0.873,,
3244,0.922,,
3246,0.763,,
3253,0.416,,
3268,0.879,,
3276,0.774,,
3279,0.591,,
8018,0.793,,
8028,0.577,,
8060,0.014,,
8087,0.771,,
8091,0.835,,
8104,0.808,,
8118,0.366,,
8120,0.566,,
8134,0.747,,
8149,0.757,,
9003,0.861,,
9020,0.808,,
9021,0.814,,
9030,0.713,,
9033,0.907,,
9040,0.859,,
9041,0.353,,
9061,0.831,,
9063,0.869,,
9064,0.864,,
9069,0.912,,
9073,0.772,,
9074,0.923,,
9075,0.909,,
9087,0.314,,
9089,0.770,,
9093,0.797,,
9095,0.779,,
9120,0.911,,
9139,0.807,,
9159,0.927,,
9165,0.933,,
9166,0.886,,
9170,0.853,,
9177,0.782,,
9184,0.344,,
9187,0.716,,
9188,0.906,,
9189,0.838,,
9197,0.883,,
9215,0.496,,
9252,0.777,,
9256,0.771,,
9261,0.859,,
9263,0.813,,
9265,0.691,,
9271,0.717,,
9279,0.866,,
9284,0.929,,
9291,0.600,,
9321,0.767,,
9323,0.920,,
9324,0.943,,
9327,0.806,,
1265,,-0.043,
1268,,0.341,
1365,,0.187,
1512,,0.213,
1540,,0.708,
1544,,0.722,
2000,,0.843,
2015,,0.788,
2017,,0.666,
2030,,0.702,
2048,,0.206,
2095,,0.737,
2138,,0.826,
2150,,0.562,
2163,,0.652,
2714,,0.566,
3005,,0.906,
3014,,0.689,
3049,,-0.017,
3051,,-1.153,
3052,,-0.241,
3103,,0.571,
3168,,0.265,
3184,,0.680,
3212,,0.697,
3231,,0.755,
3233,,-21.103,
3250,,-0.224,
3251,,-2.997,
3256,,0.533,
3261,,0.158,
3278,,-0.611,
8029,,0.411,
8090,,0.528,
8092,,-2.612,
8126,,0.776,
8140,,-5.854,
9011,,0.837,
9038,,0.712,
9051,,0.087,
9062,,0.732,
9068,,0.902,
9070,,0.796,
9071,,0.850,
9079,,0.677,
9092,,0.555,
9203,,0.618,
9254,,0.086,
9270,,0.145,
9281,,0.567,
9282,,0.724,
9317,,-0.792,
9322,,0.458,
1080,,,0.433
1103,,,0.739
1163,,,0.754
1302,,,0.852
1353,,,0.866
1404,,,0.811
1424,,,0.454
1433,,,0.526
1438,,,0.745
1464,,,0.622
1542,,,0.555
1546,,,0.579
1578,,,0.898
1622,,,0.750
1647,,,0.166
1765,,,0.899
2013,,,0.748
2026,,,0.839
2043,,,0.803
2049,,,0.795
2053,,,0.851
2054,,,0.707
2060,,,0.640
2061,,,0.588
2062,,,0.733
2105,,,0.558
2144,,,0.367
2145,,,-0.058
2156,,,0.410
2716,,,0.085
2818,,,0.832
3062,,,0.536
3144,,,0.150
3146,,,0.853
3174,,,0.074
3182,,,0.704
3211,,,0.380
3255,,,-1.662
3269,,,-1.490
8027,,,-0.489
8103,,,0.423
8148,,,-1.578
9002,,,0.869
9004,,,0.656
9023,,,0.754
9044,,,0.718
9067,,,0.818
9088,,,0.545
9158,,,0.758
9255,,,-3.065
9283,,,0.751
9287,,,0.177
9328,,,0.766
