basin,train,validation,test
1105,0.905,,
1106,0.927,,
1109,0.871,,
1295,0.823,,
1343,0.729,,
1363,0.786,,
1369,0.876,,
1378,0.921,,
1395,0.791,,
1414,0.882,,
1427,0.867,,
1431,0.874,,
1441,0.890,,
1443,0.925,,
1485,0.928,,
1520,0.929,,
1522,0.918,,
1552,0.918,,
1585,0.783,,
1605,0.938,,
1619,0.875,,
1620,0.828,,
1624,0.943,,
1638,0.955,,
1659,0.905,,
1715,0.915,,
1721,0.705,,
1723,0.966,,
1725,0.882,,
1726,0.950,,
1728,0.891,,
1729,0.845,,
1734,0.827,,
1753,0.879,,
1823,0.742,,
1824,0.862,,
1829,0.937,,
2005,0.929,,
2012,0.908,,
2016,0.923,,
2025,0.780,,
2028,0.897,,
2029,0.870,,
2031,0.903,,
2036,0.950,,
2041,0.723,,
2046,0.831,,
2047,0.754,,
2050,0.908,,
2055,0.898,,
2056,0.811,,
2057,0.888,,
2074,0.943,,
2081,0.891,,
2082,0.948,,
2089,0.899,,
2098,0.866,,
2101,0.783,,
2104,0.922,,
2113,0.888,,
2114,0.478,,
2115,0.907,,
2116,0.891,,
2121,0.935,,
2125,0.777,,
2126,0.582,,
2131,0.865,,
2132,0.830,,
2139,0.915,,
2141,0.933,,
2143,0.902,,
2147,0.890,,
2711,0.903,,
2712,0.543,,
2713,0.884,,
2717,0.731,,
3001,0.922,,
3012,0.707,,
3030,0.775,,
3040,0.898,,
3045,0.957,,
3100,0.886,,
3161,0.896,,
3163,0.879,,
3165,0.850,,
3169,0.721,,
3175,0.651,,
3180,0.957,,
3186,0.451,,
3193,0.547,,
3198,0.654,,
3200,0.838,,
3213,0.755,,
3217,0.753,,
3218,0.915,,
3220,0.658,,
3221,0.872,,
3222,0.654,,
3234,0.907,,
3235,0.784,,
3242,0.938,,
3244,0.899,,
3246,0.640,,
3253,0.374,,
3268,0.887,,
3276,0.693,,
3279,0.755,,
8018,0.871,,
8028,0.757,,
8060,-0.292,,
8087,0.799,,
8091,0.875,,
8104,0.908,,
8118,0.255,,
8120,0.429,,
8134,0.780,,
8149,0.831,,
9003,0.912,,
9020,0.866,,
9021,0.846,,
9030,0.716,,
9033,0.818,,
9040,0.831,,
9041,0.553,,
9061,0.850,,
9063,0.908,,
9064,0.861,,
9069,0.928,,
9073,0.776,,
9074,0.922,,
9075,0.921,,
9087,0.159,,
9089,0.780,,
9093,0.876,,
9095,0.799,,
9120,0.914,,
9139,0.831,,
9159,0.932,,
9165,0.915,,
9166,0.884,,
9170,0.820,,
9177,0.768,,
9184,0.370,,
9187,0.783,,
9188,0.825,,
9189,0.876,,
9197,0.872,,
9215,0.641,,
9252,0.893,,
9256,0.860,,
9261,0.924,,
9263,0.879,,
9265,0.836,,
9271,0.780,,
9279,0.933,,
9284,0.927,,
9291,0.869,,
9321,0.796,,
9323,0.915,,
9324,0.950,,
9327,0.739,,
1265,,-0.071,
1268,,0.561,
1365,,0.344,
1512,,0.111,
1540,,0.738,
1544,,0.775,
2000,,0.806,
2015,,0.775,
2017,,0.652,
2030,,0.898,
2048,,0.270,
2095,,0.789,
2138,,0.768,
2150,,0.418,
2163,,0.677,
2714,,0.766,
3005,,0.445,
3014,,0.709,
3049,,0.293,
3051,,-1.637,
3052,,0.535,
3103,,0.525,
3168,,0.148,
3184,,0.338,
3212,,0.678,
3231,,0.767,
3233,,-15.488,
3250,,-0.354,
3251,,-5.444,
3256,,0.622,
3261,,0.498,
3278,,-0.630,
8029,,0.212,
8090,,0.480,
8092,,-0.362,
8126,,0.776,
8140,,-4.237,
9011,,0.886,
9038,,0.483,
9051,,0.332,
9062,,0.788,
9068,,0.936,
9070,,0.786,
9071,,0.328,
9079,,0.792,
9092,,0.874,
9203,,0.191,
9254,,0.422,
9270,,0.547,
9281,,0.742,
9282,,0.743,
9317,,0.439,
9322,,0.519,
1080,,,0.787
1103,,,0.731
1163,,,0.788
1302,,,0.798
1353,,,0.878
1404,,,0.789
1424,,,0.765
1433,,,0.633
1438,,,0.775
1464,,,0.722
1542,,,0.506
1546,,,0.698
1578,,,0.879
1622,,,0.675
1647,,,-0.042
1765,,,0.860
2013,,,0.695
2026,,,0.813
2043,,,0.851
2049,,,0.711
2053,,,0.705
2054,,,0.837
2060,,,0.670
2061,,,0.712
2062,,,0.862
2105,,,0.478
2144,,,0.408
2145,,,0.411
2156,,,0.630
2716,,,0.030
2818,,,0.654
3062,,,0.574
3144,,,0.198
3146,,,0.826
3174,,,0.779
3182,,,0.782
3211,,,0.522
3255,,,-2.387
3269,,,-1.199
8027,,,-0.093
8103,,,0.531
8148,,,-0.880
9002,,,0.881
9004,,,0.816
9023,,,0.806
9044,,,0.594
9067,,,0.846
9088,,,0.061
9158,,,0.742
9255,,,-0.368
9283,,,0.678
9287,,,0.262
9328,,,0.252
