basin,train,validation,test
1105,0.851,,
1106,0.902,,
1109,0.878,,
1295,0.839,,
1343,0.789,,
1363,0.845,,
1369,0.859,,
1378,0.901,,
1395,0.776,,
1414,0.840,,
1427,0.895,,
1431,0.919,,
1441,0.930,,
1443,0.890,,
1485,0.948,,
1520,0.914,,
1522,0.951,,
1552,0.932,,
1585,0.745,,
1605,0.962,,
1619,0.887,,
1620,0.839,,
1624,0.892,,
1638,0.971,,
1659,0.881,,
1715,0.917,,
1721,0.888,,
1723,0.966,,
1725,0.901,,
1726,0.927,,
1728,0.944,,
1729,0.851,,
1734,0.895,,
1753,0.915,,
1823,0.709,,
1824,0.915,,
1829,0.935,,
2005,0.911,,
2012,0.876,,
2016,0.897,,
2025,0.813,,
2028,0.935,,
2029,0.824,,
2031,0.835,,
2036,0.944,,
2041,0.836,,
2046,0.828,,
2047,0.800,,
2050,0.890,,
2055,0.932,,
2056,0.839,,
2057,0.836,,
2074,0.938,,
2081,0.899,,
2082,0.948,,
2089,0.939,,
2098,0.913,,
2101,0.859,,
2104,0.946,,
2113,0.871,,
2114,0.610,,
2115,0.892,,
2116,0.897,,
2121,0.910,,
2125,0.795,,
2126,0.785,,
2131,0.900,,
2132,0.882,,
2139,0.892,,
2141,0.911,,
2143,0.842,,
2147,0.908,,
2711,0.952,,
2712,0.774,,
2713,0.926,,
2717,0.826,,
3001,0.884,,
3012,0.745,,
3030,0.753,,
3040,0.905,,
3045,0.950,,
3100,0.899,,
3161,0.833,,
3163,0.883,,
3165,0.923,,
3169,0.676,,
3175,0.665,,
3180,0.963,,
3186,0.706,,
3193,0.769,,
3198,0.811,,
3200,0.935,,
3213,0.785,,
3217,0.841,,
3218,0.879,,
3220,0.587,,
3221,0.904,,
3222,0.750,,
3234,0.946,,
3235,0.754,,
3242,0.918,,
3244,0.918,,
3246,0.850,,
3253,0.581,,
3268,0.855,,
3276,0.832,,
3279,0.813,,
8018,0.783,,
8028,0.697,,
8060,0.415,,
8087,0.800,,
8091,0.822,,
8104,0.898,,
8118,0.647,,
8120,0.314,,
8134,0.761,,
8149,0.869,,
9003,0.896,,
9020,0.903,,
9021,0.902,,
9030,0.841,,
9033,0.805,,
9040,0.903,,
9041,0.349,,
9061,0.857,,
9063,0.900,,
9064,0.879,,
9069,0.922,,
9073,0.856,,
9074,0.934,,
9075,0.913,,
9087,0.499,,
9089,0.753,,
9093,0.887,,
9095,0.797,,
9120,0.895,,
9139,0.751,,
9159,0.924,,
9165,0.910,,
9166,0.911,,
9170,0.830,,
9177,0.854,,
9184,0.589,,
9187,0.847,,
9188,0.851,,
9189,0.874,,
9197,0.820,,
9215,0.477,,
9252,0.937,,
9256,0.843,,
9261,0.950,,
9263,0.869,,
9265,0.806,,
9271,0.807,,
9279,0.858,,
9284,0.914,,
9291,0.629,,
9321,0.771,,
9323,0.890,,
9324,0.917,,
9327,0.806,,
1265,,-0.365,
1268,,0.436,
1365,,0.263,
1512,,0.136,
1540,,0.746,
1544,,0.798,
2000,,0.638,
2015,,0.845,
2017,,0.461,
2030,,0.727,
2048,,0.373,
2095,,0.755,
2138,,0.680,
2150,,0.326,
2163,,0.338,
2714,,0.418,
3005,,0.607,
3014,,0.384,
3049,,0.137,
3051,,-0.454,
3052,,0.390,
3103,,0.439,
3168,,0.244,
3184,,0.523,
3212,,0.525,
3231,,0.855,
3233,,-7.991,
3250,,0.163,
3251,,-3.546,
3256,,0.634,
3261,,-0.105,
3278,,0.019,
8029,,0.566,
8090,,0.356,
8092,,-0.397,
8126,,0.622,
8140,,-2.135,
9011,,0.902,
9038,,0.667,
9051,,0.430,
9062,,0.837,
9068,,0.901,
9070,,0.809,
9071,,0.511,
9079,,0.675,
9092,,0.715,
9203,,0.432,
9254,,0.349,
9270,,0.233,
9281,,0.543,
9282,,0.711,
9317,,-0.554,
9322,,0.424,
1080,,,0.599
1103,,,0.718
1163,,,0.758
1302,,,0.818
1353,,,0.808
1404,,,0.748
1424,,,0.533
1433,,,0.518
1438,,,0.710
1464,,,0.726
1542,,,0.547
1546,,,0.760
1578,,,0.844
1622,,,0.731
1647,,,0.246
1765,,,0.512
2013,,,0.561
2026,,,0.790
2043,,,0.852
2049,,,0.817
2053,,,0.727
2054,,,0.776
2060,,,0.652
2061,,,0.693
2062,,,0.842
2105,,,0.731
2144,,,0.242
2145,,,0.428
2156,,,0.266
2716,,,0.184
2818,,,0.854
3062,,,0.534
3144,,,-0.365
3146,,,0.851
3174,,,0.718
3182,,,0.825
3211,,,0.368
3255,,,-2.124
3269,,,-1.914
8027,,,0.026
8103,,,0.344
8148,,,-1.240
9002,,,0.903
9004,,,0.738
9023,,,0.868
9044,,,0.667
9067,,,0.869
9088,,,0.099
9158,,,0.421
9255,,,-0.279
9283,,,0.774
9287,,,0.273
9328,,,-0.341
