basin,train,validation,test
1105,0.918,,
1106,0.889,,
1109,0.877,,
1295,0.739,,
1343,0.703,,
1363,0.821,,
1369,0.815,,
1378,0.851,,
1395,0.754,,
1414,0.880,,
1427,0.866,,
1431,0.879,,
1441,0.894,,
1443,0.906,,
1485,0.923,,
1520,0.915,,
1522,0.893,,
1552,0.919,,
1585,0.763,,
1605,0.925,,
1619,0.888,,
1620,0.876,,
1624,0.923,,
1638,0.957,,
1659,0.930,,
1715,0.916,,
1721,0.880,,
1723,0.936,,
1725,0.900,,
1726,0.975,,
1728,0.900,,
1729,0.817,,
1734,0.870,,
1753,0.950,,
1823,0.747,,
1824,0.886,,
1829,0.934,,
2005,0.945,,
2012,0.829,,
2016,0.914,,
2025,0.807,,
2028,0.870,,
2029,0.861,,
2031,0.905,,
2036,0.912,,
2041,0.838,,
2046,0.852,,
2047,0.802,,
2050,0.890,,
2055,0.892,,
2056,0.856,,
2057,0.896,,
2074,0.904,,
2081,0.800,,
2082,0.921,,
2089,0.951,,
2098,0.854,,
2101,0.832,,
2104,0.949,,
2113,0.878,,
2114,0.588,,
2115,0.866,,
2116,0.838,,
2121,0.896,,
2125,0.796,,
2126,0.658,,
2131,0.934,,
2132,0.857,,
2139,0.910,,
2141,0.945,,
2143,0.736,,
2147,0.879,,
2711,0.885,,
2712,0.774,,
2713,0.910,,
2717,0.896,,
3001,0.914,,
3012,0.655,,
3030,0.832,,
3040,0.844,,
3045,0.914,,
3100,0.926,,
3161,0.866,,
3163,0.879,,
3165,0.922,,
3169,0.713,,
3175,0.541,,
3180,0.872,,
3186,0.758,,
3193,0.630,,
3198,0.582,,
3200,0.914,,
3213,0.826,,
3217,0.894,,
3218,0.926,,
3220,0.618,,
3221,0.844,,
3222,0.771,,
3234,0.945,,
3235,0.770,,
3242,0.884,,
3244,0.800,,
3246,0.652,,
3253,0.418,,
3268,0.899,,
3276,0.768,,
3279,0.727,,
8018,0.798,,
8028,0.692,,
8060,0.379,,
8087,0.590,,
8091,0.793,,
8104,0.849,,
8118,0.049,,
8120,0.593,,
8134,0.794,,
8149,0.798,,
9003,0.906,,
9020,0.808,,
9021,0.840,,
9030,0.799,,
9033,0.850,,
9040,0.878,,
9041,0.390,,
9061,0.800,,
9063,0.860,,
9064,0.833,,
9069,0.950,,
9073,0.798,,
9074,0.966,,
9075,0.925,,
9087,0.513,,
9089,0.758,,
9093,0.879,,
9095,0.814,,
9120,0.910,,
9139,0.854,,
9159,0.773,,
9165,0.916,,
9166,0.895,,
9170,0.857,,
9177,0.813,,
9184,0.724,,
9187,0.809,,
9188,0.860,,
9189,0.855,,
9197,0.861,,
9215,0.657,,
9252,0.861,,
9256,0.832,,
9261,0.886,,
9263,0.855,,
9265,0.745,,
9271,0.770,,
9279,0.868,,
9284,0.884,,
9291,0.641,,
9321,0.729,,
9323,0.905,,
9324,0.917,,
9327,0.726,,
1265,,0.702,
1268,,0.663,
1365,,0.131,
1512,,0.139,
1540,,0.688,
1544,,0.773,
2000,,0.741,
2015,,0.829,
2017,,0.461,
2030,,0.389,
2048,,0.414,
2095,,0.691,
2138,,0.810,
2150,,0.366,
2163,,0.350,
2714,,0.778,
3005,,0.640,
3014,,0.657,
3049,,0.233,
3051,,-0.905,
3052,,0.449,
3103,,0.154,
3168,,0.466,
3184,,0.676,
3212,,0.701,
3231,,0.628,
3233,,-10.582,
3250,,0.055,
3251,,-3.451,
3256,,0.731,
3261,,0.483,
3278,,-0.175,
8029,,0.157,
8090,,0.410,
8092,,-1.013,
8126,,0.856,
8140,,-2.204,
9011,,0.867,
9038,,0.585,
9051,,0.291,
9062,,0.751,
9068,,0.874,
9070,,0.805,
9071,,0.698,
9079,,0.690,
9092,,0.813,
9203,,0.291,
9254,,0.260,
9270,,0.520,
9281,,0.636,
9282,,0.683,
9317,,-0.583,
9322,,0.459,
1080,,,0.691
1103,,,0.738
1163,,,0.721
1302,,,0.852
1353,,,0.710
1404,,,0.720
1424,,,0.599
1433,,,0.642
1438,,,0.742
1464,,,0.753
1542,,,0.517
1546,,,0.506
1578,,,0.835
1622,,,0.648
1647,,,0.023
1765,,,0.705
2013,,,0.579
2026,,,0.871
2043,,,0.851
2049,,,0.663
2053,,,0.879
2054,,,0.790
2060,,,0.548
2061,,,0.844
2062,,,0.793
2105,,,0.619
2144,,,0.501
2145,,,0.183
2156,,,0.546
2716,,,0.335
2818,,,0.611
3062,,,0.440
3144,,,-0.279
3146,,,0.903
3174,,,0.488
3182,,,0.797
3211,,,0.526
3255,,,-2.012
3269,,,-0.283
8027,,,0.001
8103,,,0.536
8148,,,-0.968
9002,,,0.833
9004,,,0.710
9023,,,0.728
9044,,,0.005
9067,,,0.844
9088,,,0.128
9158,,,0.647
9255,,,0.077
9283,,,0.634
9287,,,0.147
9328,,,0.357
